protein,Fasta_headers,T0.1,T0.2,T0.3,T2.1,T2.2,T2.3,T4.1,T4.2,T4.3,T6.1,T6.2,T6.3,T8.1,T8.2,T8.3
jgi|Aurli1|42583|fgenesh1_kg.2_#_311_#_isotig05590,jgi|Aurli1|42583|fgenesh1_kg.2_#_311_#_isotig05590,1311958.154,1001151.543,1490878.114,1260600,969414.2815,1442654.54,1227819.655,906786.8891,1384549.05,1162711.24,884255.9959,1332894.075,1111038.769,881682.3353,1325915.911
jgi|Aurli1|42584|fgenesh1_kg.2_#_312_#_isotig01671,jgi|Aurli1|42584|fgenesh1_kg.2_#_312_#_isotig01671,1065295.19,1203510.967,1136265.185,1020100,1099662.941,1055793.042,1084791.47,1155877.861,1119004.605,1107512.841,1220169.033,1193313.549,1035893.214,1092262.39,1062208.916
jgi|Aurli1|42589|fgenesh1_kg.2_#_317_#_isotig09373,jgi|Aurli1|42589|fgenesh1_kg.2_#_317_#_isotig09373,109720.1356,92458.74022,94768.01063,105420,95219.69383,94839.8654,125536.2245,108698.6975,104474.7135,116574.9684,108931.4691,104420.815,119998.0578,116662.9191,116099.8128
jgi|Aurli1|42610|fgenesh1_kg.2_#_338_#_isotig09828,jgi|Aurli1|42610|fgenesh1_kg.2_#_338_#_isotig09828,179016.0363,107763.1639,88536.0229,169410,121713.9032,99553.04044,189608.9857,137367.1073,102160.0049,185426.1096,137412.1224,112553.4092,212697.1445,162135.1194,132130.2826
jgi|Aurli1|42615|fgenesh1_kg.2_#_343_#_isotig04982,jgi|Aurli1|42615|fgenesh1_kg.2_#_343_#_isotig04982,63974.30337,138308.5113,139711.0804,62674,128474.6917,119560.7939,42258.06381,112355.2863,118278.5685,41731.00282,114434.7829,104668.9321,41743.94276,124942.0357,112923.7039
jgi|Aurli1|42622|fgenesh1_kg.2_#_350_#_isotig05673,jgi|Aurli1|42622|fgenesh1_kg.2_#_350_#_isotig05673,154017.9939,254373.3609,222199.7752,230030,308325.4625,320707.3913,230401.0107,299557.5516,319963.1639,205682.403,274091.1392,267284.361,172267.2705,239126.0614,220678.4462
jgi|Aurli1|42624|fgenesh1_kg.2_#_352_#_isotig03590,jgi|Aurli1|42624|fgenesh1_kg.2_#_352_#_isotig03590,50530.78154,30687.28849,179728.0491,46475,34179.43221,159302.0627,63602.1212,39892.62933,189666.5657,75061.72076,34627.69417,194460.2498,78692.46411,38642.65533,240203.3278
jgi|Aurli1|42629|fgenesh1_kg.2_#_357_#_isotig04467,jgi|Aurli1|42629|fgenesh1_kg.2_#_357_#_isotig04467,16871.23935,136524.9096,87935.60251,27739,179712.7956,104446.3294,20453.03045,142446.7499,84394.02605,18184.07457,144552.3708,94256.24832,18659.18919,153139.4477,95182.93283
jgi|Aurli1|42652|fgenesh1_kg.2_#_380_#_isotig07022,jgi|Aurli1|42652|fgenesh1_kg.2_#_380_#_isotig07022,2863846.777,2122579.476,2519222.433,3003800,2333260.452,2701592.863,3138115.691,2698807.527,3337703.948,3803119.083,3480544.719,3990686.036,3571762.151,3265845.181,3743287.696
jgi|Aurli1|42655|fgenesh1_kg.2_#_383_#_isotig01596,jgi|Aurli1|42655|fgenesh1_kg.2_#_383_#_isotig01596,669112.3185,334355.2932,457701.6818,560990,308690.1115,449390.0846,424581.0999,293629.7312,464910.9558,371996.6999,219570.1706,372093.2264,379700.3124,225133.8703,411983.0746
