label,condition,replicate,name,intensity,Protein_id,jgi,ID,set,T2_vs_T0_CI.L,T2_vs_T0_CI.R,T2_vs_T0_diff,T2_vs_T0_p.adj,T2_vs_T0_p.val,T4_vs_T0_CI.L,T4_vs_T0_CI.R,T4_vs_T0_diff,T4_vs_T0_p.adj,T4_vs_T0_p.val,T6_vs_T0_CI.L,T6_vs_T0_CI.R,T6_vs_T0_diff,T6_vs_T0_p.adj,T6_vs_T0_p.val,T8_vs_T0_CI.L,T8_vs_T0_CI.R,T8_vs_T0_diff,T8_vs_T0_p.adj,T8_vs_T0_p.val,T2_vs_T0_significant,T4_vs_T0_significant,T6_vs_T0_significant,T8_vs_T0_significant,significant,cluster
T4-1,T4,1,137113-mmetsp,22.1127512776774,137113-mmetsp,137113,137113-mmetsp,mmetsp,0.6623601322683901,0.7706202180113162,0.7164901751398531,6.511172724682701e-7,1.376267039197305e-12,0.38155296293551944,0.48981304867844555,0.4356830058069825,0.14468366149041284,5.177550900865053e-10,0.35488852093812584,0.46314860668105196,0.4090185638095889,0.24334743101270667,1.0865832007483823e-9,0.1003121826600979,0.208572268403024,0.15444222553156095,0.6899777384564786,4.23069775712929e-5,TRUE,FALSE,FALSE,FALSE,TRUE,Cluster 4
T4-1,T4,1,137175-mmetsp,16.924682212560967,137175-mmetsp,137175,137175-mmetsp,mmetsp,-0.6190846641197789,-0.4620766424754128,-0.5405806532975959,0.032267566873658886,3.2099991719113965e-9,-0.7748648524607982,-0.6178568308164321,-0.6963608416386151,0.08625373395567576,1.6439795606903557e-10,-0.7598890980969915,-0.6028810764526253,-0.6813850872748084,0.13857945830319335,2.1262252927335708e-10,-0.7644409333392412,-0.6074329116948751,-0.6859369225170582,0.037597605429570274,1.9652256191768907e-10,TRUE,FALSE,FALSE,TRUE,TRUE,Cluster 2
T4-1,T4,1,137186-jgi-mmetsp,21.60847525372358,137186-jgi-mmetsp,137186,137186-jgi-mmetsp,jgi-mmetsp,-0.12062893799624774,-0.04690746745500362,-0.08376820272562568,0.729539089027813,3.2443144058014195e-4,0.054857638051547745,0.12857910859279187,0.09171837332216981,0.8354486350176297,1.4830845988225545e-4,0.35433696186612806,0.4280584324073722,0.3911976971367501,0.04639272958812171,1.946939574835712e-11,0.30637732164062825,0.38009879218187237,0.3432380569112503,0.023755569655576986,9.244147852631615e-11,FALSE,FALSE,TRUE,TRUE,TRUE,Cluster 4
T4-1,T4,1,137187-jgi-mmetsp,20.719825236467933,137187-jgi-mmetsp,137187,137187-jgi-mmetsp,jgi-mmetsp,-0.4371502501682923,-0.3601120680987879,-0.3986311591335401,2.4075521430386387e-4,2.6298643889576033e-11,-0.5378261969815963,-0.4607880149120919,-0.49930710594684413,0.0028970118553079283,1.7699101987037112e-12,-0.5468904142312088,-0.4698522321617044,-0.5083713231964566,0.007054938193453493,1.425439253422071e-12,-0.44787460042067023,-0.3708364183511658,-0.409355509385918,0.0069322847419745134,1.9154759662917785e-11,TRUE,TRUE,TRUE,TRUE,TRUE,Cluster 2
T4-1,T4,1,137229-jgi-mmetsp,17.86248448170077,137229-jgi-mmetsp,137229,137229-jgi-mmetsp,jgi-mmetsp,-0.5094346523090764,-0.40188807506039687,-0.45566136368473664,0.004547093850212242,2.8234801435733935e-10,-0.5972954006626822,-0.48974882341400267,-0.5435221120383424,0.03621144172239364,3.484306409116087e-11,-0.6903117287178923,-0.5827651514692128,-0.6365384400935525,0.02112022757388584,5.267703124004897e-12,-0.5969173074303896,-0.4893707301817101,-0.5431440188060499,0.0118887237945553,3.513328590894586e-11,TRUE,TRUE,TRUE,TRUE,TRUE,Cluster 2
T4-1,T4,1,137243-jgi-mmetsp,20.363952522266047,137243-jgi-mmetsp,137243,137243-jgi-mmetsp,jgi-mmetsp,0.2198064576961425,0.30427337814766453,0.2620399179219035,0.06731084002851744,1.0699220881445142e-8,0.274948361261492,0.35941528171301407,0.31718182148725305,0.19288903125915807,1.1671326938768023e-9,0.442394649895375,0.5268615703468971,0.48462811012113605,0.027724982807041793,7.647768759863517e-12,0.44486363832830556,0.5293305587798276,0.4870970985540666,0.0026185487317372355,7.195973384718072e-12,FALSE,FALSE,TRUE,TRUE,TRUE,Cluster 4
T4-1,T4,1,137280-jgi-mmetsp,20.992258158525154,137280-jgi-mmetsp,137280,137280-jgi-mmetsp,jgi-mmetsp,-0.31442156794278103,-0.22788867030467858,-0.2711551191237298,0.06341916233385063,9.534284617028798e-9,-0.47490940706467283,-0.38837650942657037,-0.4316429582456216,0.040515625192516495,4.0716432512765285e-11,-0.5437370225064598,-0.45720412486835743,-0.5004705736874087,0.025950280309009754,6.948455355107587e-12,-0.471354767182043,-0.38482186954394054,-0.42808831836299177,0.01432184320011989,4.493083312688599e-11,FALSE,TRUE,TRUE,TRUE,TRUE,Cluster 3
T4-1,T4,1,137433-jgi-mmetsp,21.34990717905473,137433-jgi-mmetsp,137433,137433-jgi-mmetsp,jgi-mmetsp,0.06270138803547995,0.17219006052279254,0.11744572427913624,0.7459925978642808,5.221003164374739e-4,0.2541852165780992,0.36367388906541176,0.3089295528217555,0.4722517613332135,3.160464614925607e-8,0.5392977220420062,0.6487863945293187,0.5940420582856625,0.04101899154870501,1.4930556366685655e-11,0.4946478198026566,0.6041364922899691,0.5493921560463129,0.012629539749614626,3.79446681294396e-11,FALSE,FALSE,TRUE,TRUE,TRUE,Cluster 4
T4-1,T4,1,137462-jgi-mmetsp,20.408506804799064,137462-jgi-mmetsp,137462,137462-jgi-mmetsp,jgi-mmetsp,0.39695738014544435,0.5377827867033603,0.46737008342440234,0.04280538775355506,4.9149741034886695e-9,0.37904911455171575,0.5198745211096317,0.44946181783067374,0.34549884927209357,7.71747064897419e-9,0.34000041778901025,0.4808258243469262,0.41041312106796823,0.4934663614009269,2.1874713540098757e-8,0.15407540479300852,0.2949008113509245,0.2244881080719665,0.6510125772608881,1.4433968351919713e-5,TRUE,FALSE,FALSE,FALSE,TRUE,Cluster 4
T4-1,T4,1,137494-jgi-mmetsp,21.12966053990604,137494-jgi-mmetsp,137494,137494-jgi-mmetsp,jgi-mmetsp,0.45184357374361456,0.5675889656388354,0.509716269691225,0.002797518305041726,1.7883222580424654e-10,0.7315597695491024,0.8473051614443233,0.7894324654967129,0.0014189956450150025,9.579652763904422e-13,0.7696782087675674,0.8854236006627884,0.8275509047151779,0.0029591671391409106,5.426733034741661e-13,0.6275150498916967,0.7432604417869176,0.6853877458393072,0.0018405789833896445,5.2380228091806784e-12,TRUE,TRUE,TRUE,TRUE,TRUE,Cluster 4
