name_anno,max_exp,max_exp_raw
45810,20.44,1538911.5
119202,20.44,1451500
80547,20.44,1651245.29
142393,20.44,1561900
46743,20.44,1889401.91
69401,20.44,1813577.48
78950,20.43,1615540.68
41753,20.43,1875200
29872,20.43,1524763.5
141131,20.43,1827117.91
118266,20.43,1502614.45
43796,20.43,1490356.79
137613,20.42,1699072.47
139726,20.42,1654482.88
10713,20.42,1656269.35
138217,20.42,1810770.6
43122,20.42,1448117.46
141937,20.42,1641113.73
44953,20.42,1515778.43
71806,20.42,1770938.61
32564,20.41,1786100
44203,20.41,1626252.6
42421,20.41,1544727.97
118705,20.41,1591600.58
77589,20.41,1521055.75
47920,20.4,1535945.57
140489,20.4,1605521.73
141652,20.4,1494416.5
47681,20.4,1838100
136473,20.39,1512406.12
138013,20.38,1610903.25
60944,20.38,1612805.55
32169,20.38,1564847.47
141703,20.38,1445877.01
43565,20.38,1549585.74
46525,20.38,1696978.75
141332,20.37,1545400
81423,20.37,1596463.14
141598,20.37,1414091.84
140971,20.36,1552123.29
140237,20.36,1398866.72
78961,20.36,1500058.59
45508,20.36,1711889.89
142103,20.36,1387180.11
134269,20.36,1628588.5
143491,20.36,1651465.82
75184,20.36,1526343.08
118763,20.35,1610844.52
45684,20.35,1456543.52
142802,20.35,1499439.45
138558,20.35,1693122.28
47702,20.35,1510810.65
140210,20.35,1505752.86
46635,20.35,1481976.96
139165,20.34,1600105.56
137784,20.34,1661052.51
46461,20.34,1661500
43661,20.33,1768309.93
58480,20.32,1331842.12
42411,20.32,1398980.22
138889,20.32,1436655.65
41997,20.32,1450490.67
141647,20.32,1730798.84
139855,20.32,1420116.07
42207,20.31,1362572.3
45175,20.31,1383314.49
139498,20.31,1396065.54
115052,20.31,1427092.71
97832,20.31,1528668.1
47503,20.31,1413688.85
41657,20.3,1450946.68
139023,20.3,1563100
46953,20.3,1545663.68
75978,20.3,1481036.97
138701,20.29,1407329.18
137532,20.29,1453730.81
139364,20.29,1365472.02
83165,20.29,1479400
45537,20.28,1543326.99
80982,20.28,1485998.09
137897,20.28,1752790.14
45927,20.28,1442538.34
42243,20.27,1320500
43818,20.27,1343864.32
42583,20.27,1490878.11
139450,20.27,1423317
43451,20.27,1512512.97
137812,20.27,1471098.7
29125,20.27,1411327.28
47687,20.26,1503492.73
139272,20.26,1804471.77
107122,20.26,1551205.62
43854,20.26,1519200
140988,20.25,1272777.83
48153,20.25,1582421.64
43094,20.24,1504172.16
42920,20.24,1444657.91
141184,20.24,1494354.61
46177,20.24,1348568.53
137208,20.23,1495356.32
142411,20.23,1409792.45
44587,20.23,1400000
85714,20.23,1686177.47
139481,20.23,1383726.02
138787,20.22,1224122.39
116230,20.22,1640354.64
80822,20.22,1372815.69
44303,20.22,1366481.62
44933,20.22,1393335.85
138527,20.21,1400768.42
46459,20.21,1325721.02
11757,20.21,1622517.31
46680,20.21,1242565.9
110060,20.21,1328712.51
44487,20.21,1342108.02
143053,20.21,1349393.61
136766,20.21,1415797.78
42929,20.21,1785227.85
136571,20.2,1800503.95
140284,20.2,1313048.4
142405,20.2,1340351.72
137401,20.2,1660189.99
3947,20.2,1450350.61
48305,20.19,1425123.71
48743,20.19,1578900
42510,20.19,1237000
42584,20.19,1220169.03
141479,20.19,1521510.64
96710,20.19,1433170.13
77077,20.18,1338595.41
48165,20.18,1367184.12
137534,20.18,1216252.05
48720,20.18,1435079.46
46067,20.18,1314300
47750,20.18,1877953.95
141314,20.17,1296558.45
7054,20.17,1368024.85
45108,20.17,1572129.7
140344,20.17,1567688.47
44028,20.17,1426965.96
83784,20.17,1276764.06
46675,20.17,1378247.46
55246,20.16,1387048.51
45091,20.16,1391692.65
47829,20.16,1239420.57
142157,20.16,1290455.41
140207,20.15,1360289.44
140481,20.15,1437206.58
111860,20.14,1361323.2
3317,20.13,1241525.49
47144,20.13,1263502.2
67186,20.13,1227342.71
41608,20.13,1603969.6
142911,20.12,1251976.38
136678,20.12,1339870.49
141206,20.12,1533137.45
52020,20.12,1588542.78
30858,20.11,1514474
75453,20.11,1284323.64
48833,20.11,1489251.76
136201,20.11,1276236.63
