name_anno,max_exp,max_exp_raw
137494,21.34,2816217.09
117391,21.34,3075702.09
47441,21.34,2848529.82
140373,21.34,2745309.84
104908,21.33,2854828.34
A0A6S8C3D4,21.33,2939153.4
68400,21.33,2953758.46
70150,21.33,2784493.9
85466,21.33,2940970.47
41994,21.33,2872874.36
47886,21.33,2821890.74
44896,21.32,2691602.5
139589,21.32,2661800
136301,21.32,2707201.66
43850,21.31,2845275.78
46982,21.31,2966455.49
139108,21.3,2729158.73
138959,21.3,2738757.25
142583,21.3,2903316.03
A0A3S9VMC7,21.3,3161400
137368,21.29,2813377.63
79105,21.29,2767842.62
62499,21.28,2968910.39
43799,21.28,2691250.39
137187,21.28,2820269.17
46560,21.27,3181858.56
74103,21.26,2687963.47
138946,21.26,2607400
142380,21.26,2692078.77
140756,21.26,2761597.97
139742,21.26,2743795.23
A0A6S8GJ71,21.25,2893167.25
54189,21.25,2773735.62
138458,21.24,2667786.45
140893,21.24,2735695.52
48468,21.24,2773041.74
47355,21.24,2718826.89
142917,21.24,2626213.43
100711,21.22,2981408.99
136286,21.22,2672323.89
47633,21.22,2820530.8
73779,21.21,2513383.24
A0A6S8BNI4,21.21,2614816.39
84347,21.21,2686349.6
42133,21.21,2562217.06
78757,21.2,2567395.64
45412,21.2,2552005.12
44342,21.2,2660851.22
43568,21.2,2648701.67
43961,21.2,2949334.45
136299,21.19,2607214.35
75654,21.19,2644541.18
139091,21.17,2697396.3
73186,21.17,2501338.05
70139,21.17,2498036.29
137990,21.17,2795180.6
48380,21.17,2760517.63
45216,21.16,2470239.82
140120,21.16,2531512.4
137104,21.15,2551295.7
137794,21.15,2650219.19
85346,21.15,2449925.45
36775,21.15,2978642.14
143033,21.14,2488572.16
120334,21.14,2386578.75
52765,21.14,2544120.4
44935,21.14,2469091.18
140822,21.13,2721861.36
124602,21.13,2578414.7
48515,21.13,2473312.22
136654,21.13,2593825.33
A0A6S8EM18,21.13,2537152.03
69542,21.12,2503466.9
142768,21.12,2354587.35
42238,21.12,2603793.8
139080,21.11,2390243.68
68334,21.11,2817000
140071,21.11,2614155.74
139154,21.11,2666538.65
41946,21.11,2617828.82
136376,21.1,2534273.51
44539,21.1,2693216.3
80810,21.1,2453594.22
141761,21.09,2400729.84
43100,21.09,2723293.21
48373,21.09,2491570.52
46923,21.09,2661600.53
139799,21.08,2376552.32
139427,21.07,2484387.81
7531,21.07,2443399.72
44810,21.07,2244013.24
73963,21.06,2307436.42
