Protein_id,name_ID,name,ID,RAW.T0-1,RAW.T0-2,RAW.T0-3,RAW.T2-1,RAW.T2-2,RAW.T2-3,RAW.T4-1,RAW.T4-2,RAW.T4-3,RAW.T6-1,RAW.T6-2,RAW.T6-3,RAW.T8-1,RAW.T8-2,RAW.T8-3,set,BATCH_CORRECT.T0-1,BATCH_CORRECT.T0-2,BATCH_CORRECT.T0-3,BATCH_CORRECT.T2-1,BATCH_CORRECT.T2-2,BATCH_CORRECT.T2-3,BATCH_CORRECT.T4-1,BATCH_CORRECT.T4-2,BATCH_CORRECT.T4-3,BATCH_CORRECT.T6-1,BATCH_CORRECT.T6-2,BATCH_CORRECT.T6-3,BATCH_CORRECT.T8-1,BATCH_CORRECT.T8-2,BATCH_CORRECT.T8-3
10253-jgi,10253,10253,10253,121955.7115,480722.6963,118281.7116,94257,447000.4692,101318.157,131218.6956,499661.5437,119943.9883,114123.9569,509377.8903,119249.0411,138168.0181,537329.1871,140180.1157,jgi,245838.67820729068,238802.49095447984,241133.39024472458,215701.37732660223,212167.38777526186,224496.1954508311,255917.173695239,253761.1161098885,242763.6866013178,237317.41739687658,261435.45782666217,242082.10940771058,263478.3132485874,283512.45980085694,262610.4935569688
102543-jgi,102543,102543,102543,274832.1085,337567.644,392241.4843,221130,359405.8804,356497.7738,295884.7256,370333.2771,364423.1224,246306.3994,288331.4658,306830.217,265034.8493,301960.1984,347492.1485,jgi,329220.6297566215,320879.6002061856,350373.09672301187,274533.3290318146,340568.54940413055,318435.769312591,350659.4677194161,350420.48774527287,325517.1397002546,300171.6021576389,276489.1744627972,274057.3597684202,319243.63490269915,288776.5871860048,310389.16195934295
102623-jgi,102623,102623,102623,132678.9155,183047.967,217190.7432,149360,211930.0223,152934.1635,142235.7315,178305.8226,145262.8713,140295.088,195538.3641,144578.1443,132982.1921,193537.6631,156844.8846,jgi,156498.650862025,155642.2095691671,205168.30892767044,177156.94247157397,185850.78354253413,157158.4318458372,168334.06191019775,150682.26408011504,151426.75740408624,165930.7182107413,168706.27584952212,150915.15751411245,156874.2365405912,166613.68501658755,160080.3620230877
10264-jgi,10264,10264,10264,168458.7054,424459.8659,465441.9079,195170,425545.314,492094.5182,216668.3721,451371.9541,538695.8072,218453.996,445416.9309,531005.7145,229027.6043,451381.3061,516192.6612,jgi,346997.67170632584,369160.30799672066,351726.52443381597,372652.8501748712,370323.1344113729,373463.53275483265,393301.21564229025,397990.87763188826,411470.0392606176,395016.2392125893,391611.3388249874,405198.24797534564,405171.7862220177,398000.896307705,393117.2000322943
102684-jgi,102684,102684,102684,545663.7497,475670.7143,569183.052,445620,382615.2927,439663.932,474650.6287,405947.3207,410638.5235,462866.432,382048.4816,416307.4454,486890.3583,437408.4813,504164.0424,jgi,523949.8117517865,514523.1260762554,536869.1366183661,415996.3658701286,420835.4287147682,433231.6591522332,447322.2249435211,444325.98886170913,410006.3614559236,434606.3416971711,420264.7663515778,414542.46983643546,460529.6566015903,476000.91593478085,484842.7937719178
102706-jgi,102706,102706,102706,32092.52985,138915.4962,68088.55715,25644,127223.0588,61589.67048,24898.50106,138573.4046,66981.38626,27559.69996,133013.4884,69091.77262,32038.62039,134247.569,60728.95541,jgi,79311.80637788895,81058.30265408302,78336.9328796094,72642.32663843232,70909.40808084315,72492.55383376013,71871.28421608602,80761.37127322391,77341.26597876003,74623.66538808514,75935.43110185736,79239.11378674928,79256.04978536343,77006.59817128982,71718.5220072358
102883-jgi,102883,102883,102883,2642747.776,1741486.346,2224762.119,3588400,2484639.04,2980246.555,3864080.37,2785415.905,3151807.082,4359154.336,3063678.739,3674131.043,4104238.856,2860313.719,3289129.493,jgi,2159928.424238648,2287906.695558058,2357356.507987363,3019445.92987773,3010784.778705595,3041007.783165204,3270015.9575923365,3303355.882035707,3196255.949063531,3719996.1189705306,3574027.179707302,3668916.172064592,3488299.611567837,3376210.3420321355,3320521.436103486
102913-jgi,102913,102913,102913,357954.0148,413795.6082,351760.102,456940,484884.5375,371906.2307,432515.2985,482999.5619,391767.5161,437556.1934,474550.3496,386016.0017,413378.8279,473023.2071,386391.9864,jgi,368463.28658639715,372994.64556217764,394582.9700199846,453023.74161495734,439560.07350117987,414545.1052209876,432158.52651805535,437795.04188930866,434224.9985803756,436464.7963969063,429883.4663734712,428526.012448945,415810.8722687479,428453.49837370927,428898.56330110494
103007-jgi,103007,103007,103007,1265416.131,1388874.815,1454167.327,1398100,1319142.182,1383623.649,1652458.74,1580061.005,1761856.671,1933463.204,1963819.377,2041850.262,2050553.895,1972269.536,1984433.772,jgi,1305295.7266124785,1433276.8856810667,1431923.6646560924,1430678.1701936845,1367343.6468096084,1368429.954088254,1671039.8705857394,1614046.2642615945,1708863.2672770957,1936581.0145023903,1976895.4974175834,1960874.9645946594,2047228.3529380215,1984885.2480964197,1909196.5420734922
103046-jgi,103046,103046,103046,1307762.542,678749.1827,542667.249,1224200,667662.3553,492942.7968,1569057.845,874018.9533,677792.1239,1829244.574,1079171.722,817563.2418,2041454.238,1203618.928,916562.2947,jgi,827165.3364782406,842852.0696266134,912164.6294331211,756302.4388162142,832097.504800758,864217.2900845842,1048749.5759339675,1032269.7750422878,1042460.247476328,1269393.719935049,1231274.2937008792,1177236.0554454236,1449352.2437306158,1351991.925177995,1272696.959981644
10391-jgi,10391,10391,10391,129390.7264,43995.1988,24223.59033,216950,82535.82391,66984.95443,186091.2655,73465.39161,51719.16359,189659.675,82931.32405,57379.70823,166102.9867,71941.16515,48384.34037,jgi,61786.68302174685,70984.76733525141,73972.8729214349,132389.12817422277,110924.62961349319,115035.96823820967,107506.53127233314,101524.89061517273,100376.45871267357,110383.87853261606,111334.48858899088,105812.19466238754,91389.20526393878,99945.32633152397,97174.07809106348
10398-jgi,10398,10398,10398,693895.7018,503414.593,544104.7196,864110,658891.07,853600.6215,830839.1296,637226.5591,836277.0786,819802.5777,631103.5598,768022.1501,866434.1174,641055.3814,756557.4469,jgi,599383.7021135876,610169.1046123751,562561.1764289554,780684.4092311029,771140.9310186435,807682.5804559184,745246.5383017898,748710.6833370505,793962.2981119495,733491.1529741831,742371.2653143145,739904.2514529479,783159.9011991691,752674.83618196,730824.1824507922
104016-jgi,104016,104016,104016,347972.3608,528926.6349,536043.827,344570,485209.765,491955.0752,586492.8709,714919.6459,804228.9991,487720.904,635391.7259,675407.4723,543885.5219,694090.143,765841.2801,jgi,461860.035623555,494878.26901989075,476896.0259910921,458473.8968764045,451788.14451340167,439685.4411125161,699243.3082146613,678204.7976496727,703242.3547524919,600942.2743406673,599817.0269245296,594517.9259248391,656839.1060024031,657673.9161976757,670843.3999663774
10404-jgi,10404,10404,10404,160887.0891,223482.499,241318.1336,217930,276167.3681,260119.3868,181732.7715,236085.5793,233845.2033,173403.9995,228809.3106,237522.07689999999,147306.8135,210793.0849,220816.8387,jgi,202515.61664222344,206427.54938461725,219473.6186223221,253677.52336406923,254286.7407285918,237809.94024243997,221212.15301589615,217876.24882916376,212185.48458317603,213742.05989742733,211266.4509510957,215771.43367757578,190335.43890335984,194900.4238962324,199479.29521651415
104178-jgi,104178,104178,104178,320086.1761,330059.7078,250683.8071,319710,286200.1417,233997.0557,347297.5597,335426.0484,254662.9515,396790.403,319694.3291,244977.3468,561634.7454,415030.6588,295491.1496,jgi,275681.47591390787,320009.1037848285,320563.6836554287,275392.0246246601,274843.1881488899,303466.04460485297,296619.46231239924,325535.2799047814,324640.80885796034,334702.07123339735,309334.9940859012,314716.7098420692,461542.6850653029,407510.8997583977,366474.34358654765
104533-jgi,104533,104533,104533,31911.04523,4728.692456,95749.91359,46669,7775.103849,128740.7945,35506.74692,8338.90719,145859.2717,58030.22929,12150.47336,174951.9016,57551.90608,13249.49139,198973.882,jgi,51250.92143085996,61898.28468025378,31196.368459950514,68777.10806331203,65417.4635276926,55103.541480570864,55521.08893548386,66068.76255983305,67508.61782231517,82269.42647828581,70471.83926572344,88590.88411710059,81701.38151678919,71741.41205323889,105998.65335149752
104577-jgi,104577,104577,104577,31336.34394,98583.68469,393900.1041,34517,96765.01691,354464.2293,27258.46612,83470.12,360799.709,33527.20399,93553.32229,387979.7716,31539.60694,87646.31028,377696.3215,jgi,164646.23029492653,172018.23523259003,184276.70549788658,168653.90832906598,170085.77953651897,156616.87195492553,159508.03834432678,155959.06571613808,161060.4988506273,167406.74936163088,166673.14000404763,180124.25770005092,164902.3449596015,160396.54615275897,172911.57332431735
10468-jgi,10468,10468,10468,182616.457,160412.0996,231609.6786,189780,161776.0098,242572.8032,214262.0195,188417.9868,290964.6033,227002.1518,211807.2845,343836.1072,242050.8769,228949.0422,366890.1702,jgi,199498.2333613841,200803.51808862764,184104.15203251655,207702.93909597665,202202.09115578863,192585.14027566905,235743.22108856833,229521.1562145606,230020.6618707703,250335.02803958094,253504.87730047267,270921.6476147152,267570.9629849392,271082.2813282595,288756.0921178723
104882-jgi,104882,104882,104882,4659178.477,3458599.915,3664001.867,3463900,2534211.585,2547508.294,3051718.936,2278488.304,2216921.394,2951443.228,2274937.374,2145565.531,2998288.067,2344975.027,2183719.037,jgi,3987488.968740613,3729372.316327505,3822994.374979601,2897750.958384101,2801319.621770978,2838903.473564897,2521964.5778601673,2544582.6290042195,2547520.192653801,2430542.994835201,2541017.622774985,2484626.2743733646,2473251.5373461116,2611332.9117910904,2518255.234736105
104908-jgi,104908,104908,104908,1395772.824,1142065.42,1102484.627,1922900,1683298.354,1597784.931,1917254.163,1539631.196,1438675.195,1975191.168,1669171.152,1561255.812,1945663.225,1607020.091,1505249.584,jgi,1198530.6469960948,1235609.6556047013,1286476.4180821495,1689532.3933891715,1744044.1560114482,1739462.5071441224,1684273.4806389576,1609083.1528759901,1593945.7439597351,1738239.9083455503,1730773.0550865086,1706054.1231414154,1710735.5939400354,1672388.315976593,1654832.5874792181
104965-jgi,104965,104965,104965,462854.0751,305957.7385,194246.5017,465860,298815.0239,181496.7479,475046.8554,337320.3122,201527.0557,517487.5271,369013.2601,215156.2672,476822.0281,361395.5402,204382.724,jgi,322860.38944502844,314046.29710701184,330313.1571972607,325856.4059718433,308129.51765590627,317660.30321030016,335012.97891478613,340025.9759817557,337538.37802514696,377313.7542343303,366279.3254967538,351064.0057174169,336782.30014671397,359969.06796965085,340372.3428688518
105065-jgi,105065,105065,105065,9525307.961,8402631.934,9074972.756,11883000,11472644.11,12779955.4,12991404.67,12815024.18,14393503.66,13129116.56,13207953.18,14771782.42,12653415.55,12720789.91,14283263.94,jgi,9568860.653681807,9137145.93667888,8941698.483379027,12114711.840141743,12022763.174673013,12042787.229894612,13311574.406380078,13284515.522176333,13393335.081758125,13460276.600197911,13653843.925682897,13709956.269601366,12946611.557997424,13195941.269589461,13301063.892400555
10524-jgi,10524,10524,10524,474592.0318,269127.7629,437201.1402,432140,234252.4507,338335.3167,382494.0901,237009.1507,327525.0703,357736.2693,221187.0201,311145.807,363007.8232,242292.4604,344193.7928,jgi,397342.23500696843,361528.45939857507,403574.7042184336,359494.92794314184,322798.1973427322,320412.24452053464,315234.0547462935,325859.6097480767,311319.0447803397,293161.68726896605,308288.5766658332,297541.38354366843,297861.4415727591,331726.9111798092,325340.1889335739
105607-jgi,105607,105607,105607,933640.7843,988358.1688,993612.8192,759800,740937.0816,695100.3564,631575.7414,636821.3186,548519.5338,610322.1197,610094.5589,584662.4914,625498.6824,644047.4832,598409.3658,jgi,936055.8689518836,956905.9801433453,969070.5266290652,756737.3269945143,722629.8192601819,714813.5504470484,624472.6965264577,624045.4927619942,589963.8327134254,602549.3689833621,598738.6657400053,620748.4740763147,618204.14818978915,630887.7474766434,632457.3276501762
105921-jgi,105921,105921,105921,2335297.222,1908827.412,1558660.379,2819100,2504546.901,2090716.108,2901732.623,2739331.577,2259682.174,3112683.323,2896570.816,2439660.642,3145741.649,2857699.261,2331453.079,jgi,1997011.0497964504,1921609.1123125125,1999671.4227117484,2487908.504415906,2457631.5598521405,2476949.795398467,2571752.8851094563,2668888.466832933,2628520.100207189,2785797.050189038,2810370.7639448354,2789969.0343012502,2819340.156647555,2775394.526914639,2692901.891206855
10610-jgi,10610,10610,10610,189026.962,317929.3482,57553.00374,164880,224515.3384,45353.85153,186961.0315,249072.1239,63435.61736,173535.6654,236401.4735,51915.25409,185799.3411,278672.1572,58190.60548,jgi,176602.88791250632,209711.33139772818,165989.52726286364,147530.84911573253,140161.9803691083,153424.65422070696,174115.58488666656,158445.1961151261,172048.4969370654,157951.94640824877,149011.54141689342,160182.76238475632,172716.9531093589,180483.25133669458,166646.24379337722
106183-jgi,106183,106183,106183,110237.2692,270584.5266,332221.5599,70205,213753.267,257191.0827,76571.29851,233267.7442,254674.2043,73558.70379,210240.6477,243225.2408,81114.14703,230546.7664,262945.836,jgi,225550.88591141204,232979.78266429895,245773.45397094468,179825.5545252849,177863.93685586762,185804.0486282444,187097.21598465473,196789.38253413566,183792.39007827203,183656.19466218379,174457.34363437022,174641.60817593752,192286.11129748842,194150.53564021667,190403.6346388068
106365-jgi,106365,106365,106365,919931.8656,606013.7162,593520.5342,819460,580432.4154,553588.9026,961555.2938,645708.3371,644416.2097,1038540.162,760481.6475,741587.6915,1131097.153,783088.2249,801823.3419,jgi,725355.2514382398,702389.7409100456,704077.8568333766,633006.2121144985,677300.2661989757,668487.7555762642,763613.5597186299,741321.1930290111,749439.9462851416,834374.449628241,853887.8717643854,836046.5470674058,919448.5064351066,876059.8151075146,889733.1311393678
106452-jgi,106452,106452,106452,422059.0651,341162.8622,584984.1706,288100,238776.0686,384026.1556,348969.4432,302036.1156,523076.8696,272507.9149,262943.9159,424503.5386,296443.3429,275186.2134,478250.0383,jgi,457191.3845130625,421811.35248654895,451370.10221659526,326022.0968909011,313728.61657710717,287360.70796262386,385623.8976092133,380507.92192611145,400845.2254809832,310754.726268507,339240.96016538824,320395.8226198621,334191.6846956791,352164.3164020008,364260.3624794355
10657-jgi,10657,10657,10657,53700.90801,17712.75297,194666.6854,35484,12559.69217,120316.1104,34970.39122,10069.75536,126223.0713,35164.92531,9089.405677,89663.14355,35267.53095,11032.04381,107349.9441,jgi,77797.3712397097,65313.864215380774,108950.39033390605,55198.91366861209,59360.860400689555,55701.35818146875,54561.771173486035,56484.394567359945,59931.856074555515,54803.09480407054,55351.85885137726,33748.053619086466,54930.379258755296,57596.06528812524,46415.13805200035
106669-jgi,106669,106669,106669,292902.5124,223314.4109,137178.9207,270030,177781.1417,120641.4775,257363.7563,167995.7502,116556.8844,272811.7593,160530.0575,123153.0626,296149.8056,166676.5295,131507.5162,jgi,210587.85198831727,229782.05244978055,204533.7951129966,187410.74132525435,192746.94613580368,187885.35932864173,174575.81848047656,184787.86432828908,183773.35210308892,190229.54592383024,178715.5412179603,190413.8011650613,213878.39010392068,183714.85815643927,198824.32645551083
10677-jgi,10677,10677,10677,757737.3067,1084915.458,1249272.486,550250,844014.4674,912596.6513,590600.0992,862643.9465,822784.9272,536082.8044,745227.0239,747937.606,545597.823,814219.6396,813713.5681,jgi,973724.0975916206,1003429.0113791114,1064248.1130809875,738625.9248851674,767086.4015217726,796033.6674732775,784345.5148751228,785363.369581599,724484.7194769986,722573.4643712785,670168.2354329845,664857.2360291044,733354.6708060523,737855.3579093601,717257.9770109616
10682-jgi,10682,10682,10682,133957.1136,292109.1447,173900.7646,136730,353610.9188,233276.5999,176195.2614,442946.7213,291921.0944,184575.3453,477984.8994,322199.3617,188597.7303,452310.8911,331507.8095,jgi,242205.84069860587,186618.66641291825,195284.126520327,245565.74996267766,238959.24302978665,246672.6696714202,293385.8472399681,314987.73950499116,297428.25266171625,303540.00340349105,344806.69143272965,323633.45950764645,308413.9313888436,322957.0388307852,331689.7263209572
106824-jgi,106824,106824,106824,412272.5559,566653.0805,814139.0918,345930,493527.703,694902.8121,329708.9586,447394.9426,671974.4073,316190.6116,442735.5718,617658.5283,343458.2375,474582.1987,676555.023,jgi,578510.1085457995,588491.0584181463,609350.4321217051,504458.6955947768,517573.3340309713,513184.58001638553,486352.8053571799,472833.3203843165,494692.47685319284,471263.6565818277,468314.61585917335,450885.90388709225,501699.71980433166,499199.79397884046,498386.8122774933
106883-jgi,106883,106883,106883,40711.09773,137299.9826,219568.0984,34090,120895.907,180102.3174,32429.70813,95438.85122,180045.3901,23296.76302,87917.44689,160699.8714,26037.73904,105081.8392,176669.6168,jgi,118894.76675731919,133030.4548656008,139202.7343564912,110779.49734480996,118348.79992869511,106696.8072995441,108744.53027773289,95564.72371585925,106649.91922044211,97550.56922781668,88833.06350490483,90716.01385211796,100910.09656944485,104195.202234447,103869.46897037384
107122-jgi,107122,107122,107122,1551205.617,932057.9855,1178615.279,908120,552916.2034,713994.8895,907465.5133,494515.9317,658437.2445,865905.9014,519139.2426,663366.1531,991666.9242,588582.2441,776762.7585,jgi,1268306.6880559113,1135050.3276784325,1161938.9370632253,704550.4010757391,750947.4660455664,742473.6247181218,703976.6501130116,691783.0253556968,692315.4623994976,667543.7213182739,716728.5328837255,696765.3449964374,777791.1990822756,787080.1977643063,799141.2707584846
10713-jgi,10713,10713,10713,896114.4489,496410.9212,748546.2047,1017800,648197.9861,1062916.258,1231202.079,839988.175,1377684.819,1387657.378,1034080.702,1656269.347,1366122.703,993009.8238,1617808.854,jgi,787423.066523518,778449.7404937528,658587.0524675484,918881.7871954783,931113.363697014,910154.210447078,1149423.2445869355,1124011.1257797163,1162040.2647351765,1318444.24390005,1319224.5217829803,1384970.9072386771,1295180.0124445008,1277916.4625074244,1354193.8124838264
10724-jgi,10724,10724,10724,193349.4182,142706.8172,383472.9139,205150,136575.8114,395995.0173,191213.2208,139704.3083,336943.6948,176624.7502,103950.3676,292766.3324,180251.4857,103716.5112,288813.7093,jgi,222935.40374153407,234929.50727227592,253137.62794347742,237538.20678993128,228448.5547440463,262434.47269876266,220291.93493352178,231755.62059180875,218592.71861479778,202239.21799467283,193960.9095879735,185793.90943623966,206727.17503888655,193713.70508739667,182859.34467798553
107249-jgi,107249,107249,107249,1859241.605,5479859.605,4024475.252,933890,2509967.358,1857962.419,831728.2237,2211199.532,1551428.621,780576.2656,2149706.857,1576189.87,787550.8541,2097860.344,1460733.315,jgi,2999632.8590957657,4174237.1943279,3713152.860269853,1875740.7585673756,1705995.9249357358,1793919.6419826034,1751659.4766642458,1457693.6241217302,1522372.7401187853,1689532.5172203823,1406587.8109887326,1544307.8105615838,1698003.5512330008,1363498.8055913334,1442029.1384716644
107413-jgi,107413,107413,107413,222543.0728,317238.3193,363281.9814,255520,365279.6849,401723.8025,336522.1255,409651.0304,500481.1732,331615.779,357293.6119,466706.9514,350865.1626,381981.9749,494026.7885,jgi,298196.8244430111,318711.0955299992,302250.32183900865,328884.2548654054,369071.2129112881,334722.3686976687,404262.6270003112,415584.17397802597,418143.3377684724,399696.914557373,360699.6862347953,389614.0412491569,417609.8667350088,386579.65120048454,412691.2786197392
10775-jgi,10775,10775,10775,70740.94757,100554.051,35652.58697,66904,76948.81082,31468.809980000002,94970.71482,83454.09887,40317.78927,77012.40182,76348.4368,35170.29456,81093.59942,78773.61499,39099.35385,jgi,59627.9013128714,81672.04793170997,64673.46568966332,56268.301029345515,60599.30173958799,60415.864982839616,80843.28970111208,66406.66836407341,69420.9865679106,65119.1359706386,60063.33899371755,64182.66311805882,68692.59960649567,62228.33134621391,68181.05157189853
108201-jgi,108201,108201,108201,15983.33074,3150.25159,3179.684865,12893,3704.439024,2413.75917,13559.65178,3750.736486,2760.883529,13584.88316,3738.33681,3666.134854,16741.41201,4138.008953,4678.936629,jgi,8420.052719422234,6524.518658080599,6971.788496787332,6024.400554169281,7151.84839518161,6252.466224325011,6541.195005829409,7204.256250147343,6578.469496408614,6560.754598382703,7190.220050464733,7428.640008377828,9007.724133490106,7642.641388467837,8379.816968627048
108739-jgi,108739,108739,108739,211458.851,355618.4409,604146.7588,136570,269465.7119,368210.9899,187386.2504,292432.858,366144.8065,179673.3223,285569.7664,386509.884,208890.9439,318421.5997,432511.3021,jgi,337872.1694533448,362304.9153086564,437378.9992208966,248270.85515232905,268923.1284465859,262221.87802620966,309070.3301461371,293817.4430763666,260687.95742616008,299842.1408276865,286378.4708645164,275806.8534055085,334799.7781949596,321986.89477467333,309957.99548470834
109147-jgi,109147,109147,109147,105163.5057,582341.3054,312594.5581,92972,451918.3022,264581.5643,107966.9515,488267.6885,281017.0955,79723.70669,459024.5773,274010.5667,84827.39417,463417.4953,281651.8951,jgi,300582.7225964794,363160.32413916814,318023.3428780115,285538.02038023213,264915.9028260596,270281.9469311712,304042.26305671886,292296.99614940473,286624.5063200808,269189.20895143127,270268.884031535,279657.6117530159,275487.3201307083,273577.96046894934,287255.7150128096
109323-jgi,109323,109323,109323,597874.7276,602362.4686,511651.0574,712180,847680.6675,719096.181,730410.15,803290.3487,678624.8339,665105.2651,797367.9097,652500.7439,675673.9955,835299.9164,694257.7361,jgi,613070.9606903689,552238.3007055267,577009.9173057706,742279.5728498619,763444.8711607717,760060.4063329389,762886.6046297834,725227.0502359377,724348.3117332697,689067.1440922446,720128.1295870449,701296.299871518,701013.845750005,752785.6702078211,738142.8533593323
109495-jgi,109495,109495,109495,43867.56406,177286.2796,159559.2315,30215,161145.2657,121094.6674,28828.87693,135538.8129,112310.0638,29805.11009,118873.5872,94857.13837,31446.65345,129580.2775,113092.0815,jgi,112447.16574855775,128615.39288743767,132348.52712008823,95366.45033140064,114514.18804159506,100228.03702854874,93632.27251778441,92143.7323474704,92892.30401053431,94853.63728952035,77584.56259185172,78317.94104920563,96907.37128804691,86938.20258477039,93545.34122470772
109712-jgi,109712,109712,109712,1992037.607,1042146.368,1206369.519,2222700,1210634.484,1446837.831,1818390.762,953163.3665,1122684.283,1713581.139,921795.0234,1043126.313,1761223.94,931463.5494,1073580.17,jgi,1450919.6236169478,1389113.290872572,1384568.6903017901,1652321.7911909367,1562431.1298456546,1599830.4591382132,1299300.4085358637,1297579.5857576157,1309655.5685809809,1207786.2046803064,1265312.067030905,1238437.0816011452,1249385.3716095085,1275257.7419672613,1265698.682396644
110008-jgi,110008,110008,110008,322183.9821,509904.6622,504264.6703,323910,500298.3468,503819.3546,374289.2976,510442.826,548744.5906,354009.1113,529924.9343,581934.3801,388682.5545,558118.9685,566521.4168,jgi,440878.28125756717,460538.48978229146,442196.79891783406,442562.24999162444,450795.56334051775,441824.01796538284,491714.2095409251,461084.30678898946,479431.6573663231,471928.08817447955,480843.4694016982,507215.3652873925,505756.8186012685,509438.44987750595,494312.92520034825
