Protein_id,name_ID,name,ID,RAW.T0-1,RAW.T0-2,RAW.T0-3,RAW.T2-1,RAW.T2-2,RAW.T2-3,RAW.T4-1,RAW.T4-2,RAW.T4-3,RAW.T6-1,RAW.T6-2,RAW.T6-3,RAW.T8-1,RAW.T8-2,RAW.T8-3,set,BATCH_CORRECT.T0-1,BATCH_CORRECT.T0-2,BATCH_CORRECT.T0-3,BATCH_CORRECT.T2-1,BATCH_CORRECT.T2-2,BATCH_CORRECT.T2-3,BATCH_CORRECT.T4-1,BATCH_CORRECT.T4-2,BATCH_CORRECT.T4-3,BATCH_CORRECT.T6-1,BATCH_CORRECT.T6-2,BATCH_CORRECT.T6-3,BATCH_CORRECT.T8-1,BATCH_CORRECT.T8-2,BATCH_CORRECT.T8-3
A0A6S7ZMH6-mmetsp,A0A6S7ZMH6,A0A6S7ZMH6,A0A6S7ZMH6,1195242.66,1177557.752,875022.1578,939258.1765,879312.2612,673037.6025,905797.1766,842706.2799,632903.2055,901752.7346,922259.8044,604277.1823,913472.7804,931490,648818.8657,mmetsp,1090743.4619517417,1077251.1628896024,1035446.8447230849,841405.9078894005,805996.0039668707,852915.8478196878,808813.7610628674,772702.7553466839,816646.8792163903,804874.337617981,845056.9219536211,790777.8886675086,816290.0590449817,853451.8122423224,831029.6686250501
A0A6S7ZMJ1-mmetsp,A0A6S7ZMJ1,A0A6S7ZMJ1,A0A6S7ZMJ1,446104.4059,370287.3115,544004.7398,427009.454,362151.4279,557213.1957,498654.4486,406430.5694,601336.903,478991.2082,415697.1852,617751.7766,474424.4887,398640,604561.408,mmetsp,461505.17168587464,458555.2815708422,447645.08133750584,442708.6072713649,450532.1771243342,458761.8567692719,513234.04053920694,494197.5236954435,495898.16921825946,493878.0679914787,503335.6861968172,509713.5966182195,489382.7103862706,486514.9467232301,498612.044196152
A0A6S7ZMN3-mmetsp,A0A6S7ZMN3,A0A6S7ZMN3,A0A6S7ZMN3,2158182.984,2143678.213,2065328.169,1872847.478,1739611.927,1705245.924,1709183.681,1526160.979,1574604.171,1729439.177,1627785.498,1642489.811,1779829.774,1657700,1642432.815,mmetsp,2092826.0727608625,2129329.9967068043,2071592.8611870622,1798258.5406786553,1771283.4153547266,1750984.0223099196,1629299.4039440448,1582142.7103126831,1634663.650173258,1650210.2662179496,1672193.0631142014,1695107.441887653,1702231.2502396125,1698700.5584065702,1695056.693977601
A0A6S7ZMP2-mmetsp,A0A6S7ZMP2,A0A6S7ZMP2,A0A6S7ZMP2,356948.916,861890.9449,763752.8438,424993.8539,1083900.353,847385.455,405432.2286,943856.2193,791233.3775,399257.5894,891297.7886,735119.3848,373833.9704,809520,722863.8487,mmetsp,647070.1994284216,655203.4974095606,687274.9669513493,729825.5394486531,827690.4820585717,765787.4293602083,706034.9533593701,718885.2267028373,713073.0896948447,698525.4400543657,678050.7174497719,660394.5032050121,667605.57592014,614514.6525253311,648889.2745203472
A0A6S7ZMQ1-mmetsp,A0A6S7ZMQ1,A0A6S7ZMQ1,A0A6S7ZMQ1,238830.5613,472454.9559,491620.0225,205659.9199,449653.9586,413391.4984,202913.4796,442669.0221,423292.2879,187862.2347,406018.9647,386981.1068,193843.793,438070,411963.2676,mmetsp,392008.9257636963,389340.4323167214,411264.5938122237,355119.49662331963,366873.8686059695,349377.72025087976,352065.150654745,359991.3836502431,357210.2712927571,335326.4983773427,323878.89090503246,328484.36217645876,341978.65407116903,355459.8176990991,348247.84160427476
A0A6S7ZMR2-mmetsp,A0A6S7ZMR2,A0A6S7ZMR2,A0A6S7ZMR2,224101.1873,140226.3568,101381.1031,204537.5972,125193.2778,97587.81564,212688.5454,143026.1305,90307.22538,190757.182,125796.142,78138.05372,207107.0557,127830,86696.62263,mmetsp,159764.4307305929,151139.91714412003,152092.5194050392,142132.8277114252,136404.03796728374,148694.3815978294,149478.8353796292,153884.34009072225,142172.21598760446,129713.28666585282,136994.9837084217,131270.71623670706,144448.54134142128,138988.63289704378,138937.73248458232
A0A6S7ZMV4-mmetsp,A0A6S7ZMV4,A0A6S7ZMV4,A0A6S7ZMV4,664701.8315,410446.0782,361180.0345,570741.2072,326811.9185,346058.9738,582995.2292,290004.49,332733.4135,535115.8315,281352.2939,306996.985,556421.7007,287050,323842.3356,mmetsp,492860.3243840417,488624.44133170944,436810.1565953216,405006.78400621586,416495.72425071464,421906.9552705368,416464.3410902397,384751.84583693475,408773.38535394636,371696.92249931267,377289.92110588273,383407.7590314207,391617.9910744912,382203.80118516757,400010.4072423616
A0A6S7ZMV5-mmetsp,A0A6S7ZMV5,A0A6S7ZMV5,A0A6S7ZMV5,334410.7394,238232.0753,550720.1475,335763.4682,244143.6139,495082.2225,307511.6174,226671.9576,497233.0465,294111.4696,209957.2841,452079.9367,276526.9389,185530,409515.7956,mmetsp,364351.0462848907,353189.4776554062,393770.6704904471,365849.1354619884,359326.92427641293,350930.7191086476,334561.421386218,341187.59284722706,352586.8052331896,319721.3319383626,323834.1721330656,317819.92583268986,300247.21774340136,298473.40526605817,285046.49412523396
A0A6S7ZMX4-mmetsp,A0A6S7ZMX4,A0A6S7ZMX4,A0A6S7ZMX4,1659520.379,1717462.635,1961988.027,1283284.46,1441856.038,1479326.008,1208917.416,1408465.924,1347888.075,1131947.737,1276820.479,1251264.451,1157541.553,1299200,1218363.515,mmetsp,1769475.3094076174,1682061.5308438311,1803191.666461646,1384387.5011756371,1403223.7127208726,1411621.5281188886,1308270.7868152221,1369442.1318879698,1304989.625084695,1229490.203969199,1236253.271210495,1226601.5930302013,1255686.178383148,1258895.170476342,1199909.9878199596
A0A6S7ZMZ6-mmetsp,A0A6S7ZMZ6,A0A6S7ZMZ6,A0A6S7ZMZ6,351129.0967,274400.7387,354283.1294,384916.6243,307515.5532,428133.2224,499405.5333,357502.3618,516066.138,478891.9862,406029.3268,597308.8226,504116.4304,406110,591512.2035,mmetsp,335361.08880614646,351965.021942041,316180.7757943608,370385.2369050962,385587.4082943959,375575.063471715,489064.42977102153,436340.3965459356,446295.5280411354,467800.0886753688,485611.1652448574,511635.34258697426,493947.7452850372,485693.0749743738,506973.3841737134
