"name","mmetspset_name","mmetsp_significant","jgiset_name","jgi_significant","both_significant"
"124817","A0A6S8C523",FALSE,NA,NA,NA
"12485","A0A6S8G486",FALSE,"12485",FALSE,FALSE
"124985","A0A6S7ZYC6",FALSE,"124985",FALSE,FALSE
"125257","A0A6S7ZSB3",FALSE,"125257",FALSE,FALSE
"125370","A0A6S8D5L6",FALSE,NA,NA,NA
"125465","A0A6S8F1W9",TRUE,"125465",TRUE,TRUE
"125563","A0A6S8BLG8",TRUE,"125563",TRUE,TRUE
"12559","A0A6S8DQ05",FALSE,"12559",FALSE,FALSE
"12575","A0A6S8E6D6",FALSE,"12575",FALSE,FALSE
"12589","A0A6S7ZWW7",FALSE,"12589",FALSE,FALSE
"126007","A0A6S8CV84",FALSE,"126007",FALSE,FALSE
"126030","A0A6S8ASH9",FALSE,"126030",FALSE,FALSE
"126114","A0A6S7ZSP5",FALSE,"126114",FALSE,FALSE
"126174","A0A6S8C8M0",FALSE,NA,NA,NA
"126447","A0A6S8BQY7",FALSE,"126447",FALSE,FALSE
"126684","A0A6S8BQK2",FALSE,"126684",FALSE,FALSE
"126688","A0A6S8BJ88",FALSE,"126688",FALSE,FALSE
"127107","A0A6S8D4U0",FALSE,"127107",FALSE,FALSE
"127164","A0A6S8AVE5",FALSE,"127164",FALSE,FALSE
"127471","A0A6S8AJV5",FALSE,NA,NA,NA
"127527","A0A6S8BJZ6",FALSE,"127527",FALSE,FALSE
"127645","A0A6S8C971",FALSE,"127645",FALSE,FALSE
"128073","A0A6S8AZ18",FALSE,"128073",FALSE,FALSE
"128082","A0A6S8BS64",FALSE,"128082",FALSE,FALSE
"128135","A0A6S8FUE4",FALSE,"128135",FALSE,FALSE
"128296","A0A6S7ZP76",FALSE,NA,NA,NA
"1283","A0A6S8BN43",FALSE,"1283",TRUE,FALSE
"128408","A0A6S8F3J4",TRUE,NA,NA,NA
"128456","A0A6S8BT88",FALSE,NA,NA,NA
"128793","A0A6S8CQZ9",FALSE,NA,NA,NA
"128898","A0A6S8BS36",FALSE,"128898",FALSE,FALSE
"12920","A0A6S8CLW5",FALSE,"12920",FALSE,FALSE
