"name_anno","mmetsp_name_c","mmetsp_T2_significant","mmetsp_T4_significant","mmetsp_T6_significant","mmetsp_T8_significant","mmetsp_significant","any_sig_mmetsp","total_mmetsp","jgiset_name","T2_vs_T0_significant_J","T4_vs_T0_significant_J","T6_vs_T0_significant_J","T8_vs_T0_significant_J","significant_J","both_significant"
"2807","A0A6S8F750;A0A6S8FW13","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"2807",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"32308","A0A6S8BZW6;A0A6S8CIZ4","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"32308",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"36581","A0A6S8BYG3;A0A6S8B3X8;A0A6S8DAW0","TRUE;FALSE;FALSE","TRUE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","TRUE;FALSE;FALSE",TRUE,3,NA,NA,NA,NA,NA,NA,NA
"39134","A0A6S8EGP1;A0A6S8F3G7","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"39134",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"42195","A0A6S8CCT2;A0A6S8CJB1","TRUE;FALSE","TRUE;FALSE","TRUE;FALSE","TRUE;TRUE","TRUE;TRUE",TRUE,2,"42195",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"46198","A0A6S8DSW7;A0A6S8DSX8;A0A6S8DTY1","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE",FALSE,3,"46198",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"46369","A0A6S8E3L8;A0A6S8E4D4","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"46369",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"48848","A0A6S8G4J6;A0A6S8G9P2","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,NA,NA,NA,NA,NA,NA,NA
"6756","A0A6S8BYG0;A0A6S8CC33;A0A6S8DAE7","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE","FALSE;FALSE;FALSE",FALSE,3,"6756",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"81024","A0A6S8B9I9;A0A6S8BEH6","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"81024",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"82165","A0A6S8AKA7;A0A6S8DUM3","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"82165",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"82177","A0A6S8F0Y0;A0A6S8FBM5","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"82177",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8356","A0A6S8C472;A0A6S8BS59","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","TRUE;FALSE","TRUE;FALSE",TRUE,2,"8356",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"9308","A0A6S8CAA9;A0A6S8CHK9","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"9308",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"96374","A0A6S8B0J0;A0A6S8FBH9","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE","FALSE;FALSE",FALSE,2,"96374",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
