"cluster","Aplke1.FilteredModels1","Aurli1.FilteredModels1","Honfer1.CEA_gene_models","LabyHa_1.DU_gene_models","Schag1.FilteredModels1","TOTAL"
358,1,6,6,0,2,15
359,1,3,10,0,1,15
360,2,3,4,2,3,14
361,5,3,3,0,3,14
362,8,2,2,1,1,14
363,3,6,4,0,1,14
364,3,3,3,2,3,14
365,3,3,3,2,3,14
366,2,4,4,2,2,14
367,3,5,3,0,3,14
368,4,5,3,1,1,14
369,7,2,2,1,2,14
370,5,2,2,2,3,14
371,4,3,3,2,2,14
372,5,2,2,3,2,14
373,9,0,0,5,0,14
374,2,5,3,0,4,14
375,3,3,4,1,3,14
376,3,2,2,5,2,14
377,2,4,4,0,4,14
378,2,5,2,0,5,14
379,3,3,3,1,4,14
380,2,3,3,2,4,14
381,5,2,2,2,3,14
382,5,4,1,0,4,14
383,3,4,3,1,3,14
384,3,2,2,3,4,14
385,2,3,3,2,4,14
386,4,2,3,1,4,14
387,7,2,1,2,2,14
388,3,3,3,2,3,14
389,3,3,3,2,3,14
390,3,4,2,1,4,14
391,4,2,2,3,3,14
392,3,3,3,2,3,14
393,4,3,3,2,2,14
394,4,2,3,3,2,14
395,3,4,3,2,2,14
396,2,4,4,1,3,14
397,1,8,3,0,2,14
398,0,10,4,0,0,14
399,1,4,6,3,0,14
400,1,6,7,0,0,14
401,0,6,2,1,5,14
402,0,0,0,14,0,14
403,0,5,5,0,4,14
404,0,5,7,2,0,14
405,0,1,0,0,13,14
406,0,0,0,13,1,14
407,3,3,3,2,2,13
408,5,3,5,0,0,13
409,4,2,3,2,2,13
410,3,5,2,1,2,13
411,5,4,4,0,0,13
412,4,3,3,1,2,13
413,13,0,0,0,0,13
414,4,2,2,3,2,13
415,3,2,2,2,4,13
416,4,3,3,0,3,13
417,1,4,4,1,3,13
418,4,4,3,1,1,13
419,2,3,3,2,3,13
420,2,5,2,2,2,13
421,1,0,0,10,2,13
422,2,0,1,4,6,13
423,5,1,1,5,1,13
424,3,4,2,1,3,13
425,13,0,0,0,0,13
426,3,3,3,1,3,13
427,2,2,2,4,3,13
428,3,2,2,4,2,13
429,4,1,1,5,2,13
430,2,3,2,3,3,13
431,2,3,4,1,3,13
432,2,6,4,1,0,13
433,3,3,2,2,3,13
434,7,2,2,1,1,13
435,3,3,2,3,2,13
436,2,2,2,3,4,13
437,4,3,2,2,2,13
438,5,2,2,1,3,13
439,3,3,3,2,2,13
440,3,3,2,2,3,13
441,4,1,1,6,1,13
442,2,3,3,2,3,13
443,4,2,2,2,3,13
444,4,2,3,1,3,13
445,3,3,2,3,2,13
446,3,3,2,3,2,13
447,3,3,3,1,3,13
448,1,1,10,0,1,13
449,0,6,4,0,3,13
450,1,2,2,5,3,13
451,1,5,4,1,2,13
452,1,4,2,2,4,13
453,0,5,4,0,4,13
454,0,1,6,0,6,13
455,0,2,2,0,9,13
456,0,1,12,0,0,13
457,0,0,0,13,0,13
458,0,0,0,0,13,13
459,1,0,0,0,12,13
460,0,1,7,0,5,13
461,0,3,9,0,1,13
462,0,5,4,0,4,13
463,0,0,0,12,1,13
464,0,0,0,13,0,13
465,0,0,0,13,0,13
466,3,2,2,2,3,12
467,3,3,3,1,2,12
468,6,3,3,0,0,12
469,4,3,2,1,2,12
470,1,4,3,2,2,12
471,3,4,4,0,1,12
472,3,4,3,1,1,12
473,2,2,2,3,3,12
474,4,2,2,2,2,12
475,3,2,2,3,2,12
476,3,2,2,2,3,12
477,2,2,3,2,3,12
478,6,1,1,3,1,12
479,5,1,0,3,3,12
480,3,3,2,2,2,12
481,3,2,2,2,3,12
482,2,3,3,1,3,12
483,2,3,2,2,3,12
484,12,0,0,0,0,12
485,6,0,0,4,2,12
486,3,3,2,2,2,12
487,5,1,1,3,2,12
488,2,3,2,1,4,12
489,4,3,3,0,2,12
490,5,2,2,2,1,12
491,3,3,2,1,3,12
492,2,2,2,1,5,12
493,3,2,2,2,3,12
494,1,2,1,3,5,12
495,3,3,2,2,2,12
496,2,4,2,0,4,12
497,3,2,2,3,2,12
498,4,4,0,0,4,12
499,3,2,2,3,2,12
500,4,2,2,2,2,12
501,2,3,3,1,3,12
502,1,1,1,8,1,12
503,5,3,2,1,1,12
504,2,4,4,0,2,12
505,2,2,3,2,3,12
506,3,2,2,2,3,12
507,1,4,2,1,4,12
508,0,9,3,0,0,12
509,1,1,1,0,9,12
510,0,9,3,0,0,12
511,0,3,9,0,0,12
512,0,0,12,0,0,12
513,0,0,0,12,0,12
514,0,0,0,12,0,12
515,0,1,1,0,10,12
516,0,1,1,7,3,12
517,0,10,2,0,0,12
518,0,3,6,2,1,12
519,0,6,4,0,2,12
520,2,3,2,1,3,11
521,2,2,2,4,1,11
522,3,3,3,1,1,11
523,2,3,3,2,1,11
524,1,1,4,3,2,11
525,4,3,1,2,1,11
526,3,2,2,2,2,11
527,5,2,1,1,2,11
528,2,3,2,2,2,11
529,3,2,2,2,2,11
530,5,1,2,2,1,11
531,3,2,2,2,2,11
532,3,1,2,2,3,11
533,11,0,0,0,0,11
534,3,3,2,1,2,11
535,3,2,2,2,2,11
536,3,3,2,2,1,11
537,4,2,3,1,1,11
538,3,3,3,1,1,11
539,4,2,1,3,1,11
540,2,1,2,0,6,11
541,5,1,1,2,2,11
542,2,0,0,4,5,11
543,1,2,2,4,2,11
544,2,3,3,1,2,11
545,3,2,2,1,3,11
546,3,2,2,2,2,11
547,4,2,1,2,2,11
548,4,2,2,3,0,11
549,2,2,2,4,1,11
550,2,3,3,0,3,11
551,4,2,2,1,2,11
552,4,3,2,1,1,11
553,2,3,3,0,3,11
554,1,3,2,2,3,11
555,2,3,3,1,2,11
556,11,0,0,0,0,11
557,2,2,2,3,2,11
558,3,2,2,1,3,11
559,2,1,1,3,4,11
560,3,4,3,1,0,11
561,3,2,2,1,3,11
562,2,4,2,1,2,11
563,2,2,2,2,3,11
564,4,2,1,2,2,11
565,4,2,3,1,1,11
566,4,2,2,1,2,11
567,2,2,2,2,3,11
568,2,3,2,0,4,11
569,4,2,2,1,2,11
570,5,1,1,3,1,11
571,3,1,2,3,2,11
572,3,3,3,0,2,11
573,2,2,2,3,2,11
574,3,2,3,1,2,11
575,2,3,2,2,2,11
576,3,2,2,2,2,11
577,3,2,2,2,2,11
578,6,1,1,2,1,11
579,3,2,2,2,2,11
580,1,0,0,9,1,11
581,3,2,2,2,2,11
582,2,3,2,1,3,11
583,3,6,2,0,0,11
584,2,2,2,3,2,11
585,2,2,2,3,2,11
586,2,2,2,2,3,11
587,2,3,2,1,3,11
588,1,2,1,1,6,11
589,0,3,8,0,0,11
590,1,2,6,1,1,11
591,1,3,3,0,4,11
592,1,5,1,1,3,11
593,1,4,6,0,0,11
594,1,4,3,2,1,11
595,0,3,6,1,1,11
596,0,1,6,3,1,11
597,0,0,0,11,0,11
598,0,0,0,11,0,11
599,0,0,0,11,0,11
600,0,0,0,11,0,11
601,0,0,0,0,11,11
602,0,9,0,0,2,11
603,0,0,0,0,11,11
604,0,0,0,11,0,11
605,3,2,2,1,2,10
606,3,3,2,0,2,10
607,2,2,2,2,2,10
608,2,0,0,7,1,10
609,2,2,2,2,2,10
610,2,2,2,2,2,10
611,2,3,3,1,1,10
612,2,2,2,3,1,10
613,2,2,2,2,2,10
614,2,2,2,2,2,10
615,2,2,2,2,2,10
616,2,3,4,0,1,10
617,8,0,0,2,0,10
618,2,3,2,2,1,10
619,4,1,2,1,2,10
620,10,0,0,0,0,10
621,2,2,2,2,2,10
622,2,2,2,2,2,10
623,3,2,2,1,2,10
624,1,4,3,0,2,10
625,2,2,4,0,2,10
626,2,2,2,2,2,10
627,3,3,2,0,2,10
628,2,2,2,2,2,10
629,2,3,3,0,2,10
630,3,2,1,4,0,10
631,1,3,2,2,2,10
632,5,1,1,2,1,10
633,1,3,3,0,3,10
634,3,1,2,2,2,10
635,2,2,2,2,2,10
636,4,2,2,0,2,10
637,2,2,2,2,2,10
638,1,2,3,2,2,10
639,4,2,2,1,1,10
640,4,2,2,0,2,10
641,3,2,3,2,0,10
642,3,4,2,0,1,10
643,2,3,2,1,2,10
644,2,2,2,2,2,10
645,4,1,1,2,2,10
646,2,2,2,2,2,10
647,3,2,1,1,3,10
