"cluster","Aplke1.FilteredModels1","Aurli1.FilteredModels1","Honfer1.CEA_gene_models","LabyHa_1.DU_gene_models","Schag1.FilteredModels1","TOTAL"
7969,1,0,0,1,0,2
7970,1,0,0,1,0,2
7971,1,0,0,1,0,2
7972,0,0,0,2,0,2
7973,1,0,0,1,0,2
7974,0,0,0,2,0,2
7975,0,0,0,2,0,2
7976,1,0,0,1,0,2
7977,1,0,0,1,0,2
7978,1,0,0,1,0,2
7979,0,0,0,2,0,2
7980,1,0,0,1,0,2
7981,1,0,0,1,0,2
7982,1,0,0,0,1,2
7983,1,0,0,1,0,2
7984,1,0,0,1,0,2
7985,1,0,0,0,1,2
7986,0,0,0,0,2,2
7987,1,0,0,0,1,2
7988,0,1,0,0,1,2
7989,0,0,0,0,2,2
7990,1,0,0,0,1,2
7991,1,0,0,0,1,2
7992,0,1,0,0,1,2
7993,0,1,0,0,1,2
7994,1,0,0,0,1,2
7995,1,0,0,0,1,2
7996,0,0,1,0,1,2
7997,1,0,0,0,1,2
7998,1,0,0,0,1,2
7999,1,0,0,0,1,2
8000,0,0,0,0,2,2
8001,0,0,0,0,2,2
8002,1,0,0,0,1,2
8003,1,0,0,0,1,2
8004,0,1,0,0,1,2
8005,1,0,0,0,1,2
8006,0,0,0,0,2,2
8007,0,0,0,0,2,2
8008,0,0,0,0,2,2
8009,1,0,0,0,1,2
8010,1,0,0,0,1,2
8011,1,0,0,0,1,2
8012,1,0,0,0,1,2
8013,0,1,0,0,1,2
8014,0,0,0,0,2,2
8015,1,0,0,0,1,2
8016,1,0,0,0,1,2
8017,1,0,0,0,1,2
8018,0,0,1,0,1,2
8019,0,0,0,0,2,2
8020,0,0,0,0,2,2
8021,0,0,0,0,2,2
8022,1,0,0,0,1,2
8023,1,0,0,0,1,2
8024,0,0,0,0,2,2
8025,0,1,0,0,1,2
8026,1,0,0,0,1,2
8027,0,0,0,0,2,2
8028,1,0,0,0,1,2
8029,0,0,1,0,1,2
8030,1,0,0,0,1,2
8031,1,0,0,0,1,2
8032,0,0,0,0,2,2
8033,0,0,0,0,2,2
8034,0,0,0,0,2,2
8035,1,0,0,0,1,2
8036,0,0,0,0,2,2
8037,0,2,0,0,0,2
8038,0,1,1,0,0,2
8039,0,1,1,0,0,2
8040,0,1,1,0,0,2
8041,0,1,1,0,0,2
8042,0,1,1,0,0,2
8043,0,1,1,0,0,2
8044,0,1,1,0,0,2
8045,0,1,1,0,0,2
8046,0,1,1,0,0,2
8047,0,1,1,0,0,2
8048,0,1,1,0,0,2
8049,0,1,1,0,0,2
8050,0,1,1,0,0,2
8051,0,1,1,0,0,2
8052,0,1,1,0,0,2
8053,0,2,0,0,0,2
8054,0,1,1,0,0,2
8055,0,2,0,0,0,2
8056,0,1,1,0,0,2
8057,0,1,1,0,0,2
8058,0,1,1,0,0,2
8059,0,1,1,0,0,2
8060,0,1,1,0,0,2
8061,0,2,0,0,0,2
8062,0,1,1,0,0,2
8063,0,2,0,0,0,2
8064,0,1,1,0,0,2
8065,0,1,1,0,0,2
8066,0,1,1,0,0,2
8067,0,1,1,0,0,2
8068,0,1,1,0,0,2
8069,0,1,1,0,0,2
8070,0,1,1,0,0,2
8071,0,2,0,0,0,2
8072,0,1,1,0,0,2
8073,0,1,1,0,0,2
8074,0,1,1,0,0,2
8075,0,1,1,0,0,2
8076,0,1,1,0,0,2
8077,0,1,1,0,0,2
8078,0,2,0,0,0,2
8079,0,2,0,0,0,2
8080,0,2,0,0,0,2
8081,0,1,1,0,0,2
8082,0,2,0,0,0,2
8083,0,1,1,0,0,2
8084,0,2,0,0,0,2
8085,0,1,1,0,0,2
8086,0,2,0,0,0,2
8087,0,1,1,0,0,2
8088,0,2,0,0,0,2
8089,0,2,0,0,0,2
8090,0,1,1,0,0,2
8091,0,1,1,0,0,2
8092,0,1,0,0,1,2
8093,0,1,1,0,0,2
8094,0,2,0,0,0,2
8095,0,2,0,0,0,2
8096,0,1,1,0,0,2
8097,0,2,0,0,0,2
8098,0,2,0,0,0,2
8099,0,2,0,0,0,2
8100,0,1,1,0,0,2
8101,0,2,0,0,0,2
8102,0,1,1,0,0,2
8103,0,1,1,0,0,2
8104,0,1,1,0,0,2
8105,0,1,1,0,0,2
8106,0,1,1,0,0,2
8107,0,2,0,0,0,2
8108,0,2,0,0,0,2
8109,0,1,1,0,0,2
8110,0,1,1,0,0,2
8111,0,1,1,0,0,2
8112,0,1,1,0,0,2
8113,0,1,1,0,0,2
8114,0,2,0,0,0,2
8115,0,1,1,0,0,2
8116,0,2,0,0,0,2
8117,0,1,1,0,0,2
8118,0,1,1,0,0,2
8119,0,1,1,0,0,2
8120,0,1,1,0,0,2
8121,0,1,1,0,0,2
8122,0,1,0,0,1,2
8123,0,2,0,0,0,2
8124,0,2,0,0,0,2
8125,0,1,0,0,1,2
8126,0,1,1,0,0,2
8127,0,2,0,0,0,2
8128,0,2,0,0,0,2
8129,0,2,0,0,0,2
8130,0,1,1,0,0,2
8131,0,1,1,0,0,2
8132,0,1,1,0,0,2
8133,0,2,0,0,0,2
8134,0,1,1,0,0,2
8135,0,1,1,0,0,2
8136,0,2,0,0,0,2
8137,0,1,1,0,0,2
8138,0,1,1,0,0,2
8139,0,2,0,0,0,2
8140,0,2,0,0,0,2
8141,0,1,1,0,0,2
8142,0,2,0,0,0,2
8143,0,1,1,0,0,2
8144,0,1,1,0,0,2
8145,0,1,1,0,0,2
8146,0,2,0,0,0,2
8147,0,1,1,0,0,2
8148,0,1,1,0,0,2
8149,0,1,1,0,0,2
8150,0,1,1,0,0,2
8151,0,1,1,0,0,2
8152,0,1,1,0,0,2
8153,0,1,1,0,0,2
8154,0,2,0,0,0,2
8155,0,1,1,0,0,2
8156,0,1,1,0,0,2
8157,0,2,0,0,0,2
8158,0,1,1,0,0,2
8159,0,1,1,0,0,2
8160,0,1,1,0,0,2
8161,0,1,1,0,0,2
8162,0,1,1,0,0,2
8163,0,1,0,0,1,2
8164,0,1,1,0,0,2
8165,0,2,0,0,0,2
8166,0,2,0,0,0,2
8167,0,1,0,0,1,2
8168,0,1,1,0,0,2
8169,0,1,1,0,0,2
8170,0,1,1,0,0,2
8171,0,1,1,0,0,2
8172,0,1,1,0,0,2
8173,0,1,1,0,0,2
8174,0,1,1,0,0,2
8175,0,2,0,0,0,2
8176,0,2,0,0,0,2
8177,0,2,0,0,0,2
8178,0,2,0,0,0,2
8179,0,1,1,0,0,2
8180,0,1,1,0,0,2
8181,0,2,0,0,0,2
8182,0,2,0,0,0,2
8183,0,1,1,0,0,2
8184,0,2,0,0,0,2
8185,0,1,0,0,1,2
8186,0,2,0,0,0,2
8187,0,2,0,0,0,2
8188,0,1,1,0,0,2
8189,0,2,0,0,0,2
8190,0,2,0,0,0,2
8191,0,1,1,0,0,2
8192,0,1,1,0,0,2
8193,0,2,0,0,0,2
8194,0,1,1,0,0,2
8195,0,2,0,0,0,2
8196,0,2,0,0,0,2
8197,0,2,0,0,0,2
8198,0,1,1,0,0,2
8199,0,2,0,0,0,2
8200,0,1,1,0,0,2
8201,0,2,0,0,0,2
8202,0,2,0,0,0,2
8203,0,2,0,0,0,2
8204,0,2,0,0,0,2
8205,0,2,0,0,0,2
8206,0,2,0,0,0,2
8207,0,2,0,0,0,2
8208,0,2,0,0,0,2
8209,0,2,0,0,0,2
8210,0,2,0,0,0,2
8211,0,2,0,0,0,2
8212,0,2,0,0,0,2
8213,0,2,0,0,0,2
8214,0,2,0,0,0,2
8215,0,2,0,0,0,2
8216,0,2,0,0,0,2
8217,0,2,0,0,0,2
8218,0,2,0,0,0,2
8219,0,2,0,0,0,2
8220,0,2,0,0,0,2
8221,0,2,0,0,0,2
8222,0,1,1,0,0,2
8223,0,1,1,0,0,2
8224,0,1,1,0,0,2
8225,0,1,1,0,0,2
8226,0,1,1,0,0,2
8227,0,1,1,0,0,2
8228,0,1,1,0,0,2
8229,0,1,0,0,1,2
8230,0,1,1,0,0,2
8231,0,1,1,0,0,2
8232,0,1,1,0,0,2
8233,0,1,1,0,0,2
8234,0,1,1,0,0,2
8235,0,1,1,0,0,2
8236,0,1,1,0,0,2
8237,0,1,1,0,0,2
8238,0,1,1,0,0,2
8239,0,1,1,0,0,2
8240,0,1,1,0,0,2
8241,0,1,1,0,0,2
8242,0,1,1,0,0,2
8243,0,1,1,0,0,2
8244,0,1,1,0,0,2
8245,0,1,1,0,0,2
8246,0,1,1,0,0,2
8247,0,1,1,0,0,2
8248,0,1,1,0,0,2
8249,0,1,1,0,0,2
8250,0,1,1,0,0,2
8251,0,1,1,0,0,2
8252,0,1,1,0,0,2
8253,0,1,1,0,0,2
8254,0,1,1,0,0,2
8255,0,1,1,0,0,2
8256,0,1,1,0,0,2
8257,0,1,1,0,0,2
8258,0,1,1,0,0,2
8259,0,1,1,0,0,2
8260,0,1,1,0,0,2
8261,0,1,1,0,0,2
8262,0,1,1,0,0,2
8263,0,1,1,0,0,2
8264,0,1,1,0,0,2
8265,0,1,1,0,0,2
8266,0,1,1,0,0,2
8267,0,1,1,0,0,2
8268,0,1,1,0,0,2
8269,0,1,1,0,0,2
8270,0,1,1,0,0,2
8271,0,1,1,0,0,2
8272,0,1,1,0,0,2
8273,0,1,1,0,0,2
8274,0,1,1,0,0,2
8275,0,1,1,0,0,2
8276,0,1,1,0,0,2
8277,0,1,1,0,0,2
8278,0,1,1,0,0,2
8279,0,1,1,0,0,2
8280,0,1,1,0,0,2
8281,0,1,1,0,0,2
8282,0,1,1,0,0,2
8283,0,1,1,0,0,2
8284,0,1,1,0,0,2
8285,0,1,0,0,1,2
8286,0,1,1,0,0,2
8287,0,1,1,0,0,2
8288,0,1,1,0,0,2
8289,0,1,1,0,0,2
8290,0,1,1,0,0,2
8291,0,1,1,0,0,2
8292,0,1,1,0,0,2
8293,0,1,1,0,0,2
8294,0,1,1,0,0,2
8295,0,1,1,0,0,2
8296,0,1,1,0,0,2
8297,0,1,1,0,0,2
8298,0,1,1,0,0,2
8299,0,1,1,0,0,2
8300,0,1,1,0,0,2
8301,0,1,1,0,0,2
8302,0,1,1,0,0,2
8303,0,1,1,0,0,2
8304,0,1,1,0,0,2
8305,0,1,1,0,0,2
8306,0,1,1,0,0,2
8307,0,1,1,0,0,2
8308,0,1,1,0,0,2
8309,0,1,1,0,0,2
8310,0,1,1,0,0,2
8311,0,1,1,0,0,2
8312,0,1,0,0,1,2
8313,0,1,1,0,0,2
8314,0,1,1,0,0,2
8315,0,1,1,0,0,2
8316,0,1,1,0,0,2
8317,0,1,1,0,0,2
8318,0,1,1,0,0,2
8319,0,1,1,0,0,2
8320,0,1,1,0,0,2
8321,0,1,1,0,0,2
8322,0,1,1,0,0,2
8323,0,1,1,0,0,2
8324,0,1,1,0,0,2
8325,0,1,1,0,0,2
8326,0,1,1,0,0,2
8327,0,1,1,0,0,2
8328,0,1,1,0,0,2
8329,0,1,1,0,0,2
8330,0,1,1,0,0,2
8331,0,1,1,0,0,2
8332,0,1,1,0,0,2
8333,0,1,1,0,0,2
8334,0,1,1,0,0,2
8335,0,1,1,0,0,2
8336,0,1,1,0,0,2
8337,0,1,1,0,0,2
8338,0,1,1,0,0,2
8339,0,1,0,0,1,2
8340,0,1,1,0,0,2
8341,0,1,1,0,0,2
8342,0,1,1,0,0,2
8343,0,1,1,0,0,2
8344,0,1,1,0,0,2
8345,0,1,1,0,0,2
8346,0,1,1,0,0,2
8347,0,1,1,0,0,2
8348,0,1,1,0,0,2
8349,0,1,1,0,0,2
8350,0,1,1,0,0,2
8351,0,1,1,0,0,2
8352,0,1,1,0,0,2
8353,0,1,1,0,0,2
8354,0,1,1,0,0,2
8355,0,1,1,0,0,2
8356,0,1,1,0,0,2
8357,0,1,1,0,0,2
8358,0,1,1,0,0,2
8359,0,1,1,0,0,2
8360,0,1,1,0,0,2
8361,0,1,1,0,0,2
8362,0,1,1,0,0,2
8363,0,1,1,0,0,2
8364,0,1,1,0,0,2
8365,0,1,1,0,0,2
8366,0,1,0,0,1,2
8367,0,1,1,0,0,2
8368,0,1,1,0,0,2
8369,0,1,1,0,0,2
8370,0,1,1,0,0,2
8371,0,1,1,0,0,2
8372,0,1,1,0,0,2
8373,0,1,1,0,0,2
8374,0,1,1,0,0,2
8375,0,1,1,0,0,2
8376,0,1,1,0,0,2
8377,0,1,1,0,0,2
8378,0,1,1,0,0,2
8379,0,0,1,0,1,2
8380,0,1,1,0,0,2
8381,0,1,1,0,0,2
8382,0,1,1,0,0,2
8383,0,1,1,0,0,2
8384,0,1,1,0,0,2
8385,0,1,1,0,0,2
8386,0,1,1,0,0,2
8387,0,1,1,0,0,2
8388,0,1,1,0,0,2
8389,0,1,1,0,0,2
8390,0,1,1,0,0,2
8391,0,1,1,0,0,2
8392,0,1,1,0,0,2
8393,0,1,1,0,0,2
8394,0,1,1,0,0,2
8395,0,1,1,0,0,2
8396,0,1,1,0,0,2
8397,0,1,1,0,0,2
8398,0,1,1,0,0,2
8399,0,1,1,0,0,2
8400,0,1,1,0,0,2
8401,0,1,1,0,0,2
8402,0,1,1,0,0,2
8403,0,1,1,0,0,2
8404,0,1,1,0,0,2
8405,0,1,1,0,0,2
8406,0,1,1,0,0,2
8407,0,1,1,0,0,2
8408,0,1,1,0,0,2
8409,0,1,1,0,0,2
8410,0,1,1,0,0,2
8411,0,1,1,0,0,2
8412,0,1,1,0,0,2
8413,0,1,1,0,0,2
8414,0,1,1,0,0,2
8415,0,1,1,0,0,2
8416,0,1,1,0,0,2
8417,0,1,1,0,0,2
8418,0,1,1,0,0,2
8419,0,1,1,0,0,2
8420,0,0,2,0,0,2
8421,0,1,1,0,0,2
8422,0,1,1,0,0,2
8423,0,1,1,0,0,2
8424,0,1,1,0,0,2
8425,0,1,1,0,0,2
8426,0,1,1,0,0,2
8427,0,1,1,0,0,2
8428,0,1,1,0,0,2
8429,0,1,1,0,0,2
8430,0,1,1,0,0,2
8431,0,1,1,0,0,2
8432,0,1,1,0,0,2
8433,0,1,1,0,0,2
8434,0,1,1,0,0,2
8435,0,1,1,0,0,2
8436,0,1,1,0,0,2
8437,0,1,1,0,0,2
8438,0,1,1,0,0,2
8439,0,1,1,0,0,2
8440,0,1,1,0,0,2
8441,0,1,1,0,0,2
8442,0,1,1,0,0,2
8443,0,1,1,0,0,2
8444,0,1,1,0,0,2
8445,0,1,1,0,0,2
8446,0,1,1,0,0,2
8447,0,1,1,0,0,2
8448,0,1,1,0,0,2
8449,0,1,1,0,0,2
8450,0,1,1,0,0,2
8451,0,1,1,0,0,2
8452,0,1,1,0,0,2
8453,0,1,1,0,0,2
8454,0,1,1,0,0,2
8455,0,1,1,0,0,2
8456,0,1,1,0,0,2
8457,0,1,1,0,0,2
8458,0,1,1,0,0,2
8459,0,1,1,0,0,2
8460,0,1,1,0,0,2
8461,0,1,1,0,0,2
8462,0,0,2,0,0,2
8463,0,1,1,0,0,2
8464,0,1,1,0,0,2
8465,0,1,1,0,0,2
8466,0,1,1,0,0,2
8467,0,1,1,0,0,2
8468,0,1,1,0,0,2
8469,0,1,0,0,1,2
8470,0,1,1,0,0,2
8471,0,1,1,0,0,2
8472,0,1,1,0,0,2
8473,0,1,1,0,0,2
8474,0,1,1,0,0,2
8475,0,1,1,0,0,2
8476,0,1,1,0,0,2
8477,0,1,1,0,0,2
8478,0,1,1,0,0,2
8479,0,1,1,0,0,2
8480,0,1,1,0,0,2
8481,0,1,1,0,0,2
8482,0,1,1,0,0,2
8483,0,1,1,0,0,2
8484,0,1,1,0,0,2
8485,0,1,1,0,0,2
8486,0,0,1,0,1,2
8487,0,1,1,0,0,2
8488,0,1,1,0,0,2
8489,0,1,0,0,1,2
8490,0,0,2,0,0,2
8491,0,1,1,0,0,2
8492,0,1,1,0,0,2
8493,0,1,1,0,0,2
8494,0,1,1,0,0,2
8495,0,1,1,0,0,2
8496,0,1,1,0,0,2
8497,0,1,1,0,0,2
8498,0,1,1,0,0,2
8499,0,1,1,0,0,2
8500,0,1,1,0,0,2
8501,0,0,2,0,0,2
8502,0,1,1,0,0,2
8503,0,1,1,0,0,2
8504,0,1,1,0,0,2
8505,0,1,1,0,0,2
8506,0,1,1,0,0,2
8507,0,1,1,0,0,2
8508,0,1,1,0,0,2
8509,0,1,1,0,0,2
8510,0,1,1,0,0,2
8511,0,1,1,0,0,2
8512,0,1,1,0,0,2
8513,0,1,1,0,0,2
8514,0,1,1,0,0,2
8515,0,1,1,0,0,2
8516,0,1,1,0,0,2
8517,0,1,1,0,0,2
8518,0,1,1,0,0,2
8519,0,1,1,0,0,2
8520,0,1,1,0,0,2
8521,0,1,1,0,0,2
8522,0,1,1,0,0,2
8523,0,1,1,0,0,2
8524,0,0,1,0,1,2
8525,0,1,1,0,0,2
8526,0,1,1,0,0,2
8527,0,1,1,0,0,2
8528,0,1,1,0,0,2
8529,0,1,1,0,0,2
8530,0,1,1,0,0,2
8531,0,0,2,0,0,2
8532,0,1,1,0,0,2
8533,0,1,1,0,0,2
8534,0,1,1,0,0,2
8535,0,1,1,0,0,2
8536,0,1,1,0,0,2
8537,0,1,1,0,0,2
8538,0,1,1,0,0,2
8539,0,1,1,0,0,2
8540,0,1,1,0,0,2
8541,0,1,1,0,0,2
8542,0,1,1,0,0,2
8543,0,1,1,0,0,2
8544,0,1,1,0,0,2
8545,0,1,1,0,0,2
8546,0,1,1,0,0,2
8547,0,1,1,0,0,2
8548,0,1,1,0,0,2
8549,0,1,1,0,0,2
8550,0,1,1,0,0,2
8551,0,1,1,0,0,2
8552,0,1,1,0,0,2
8553,0,1,1,0,0,2
8554,0,1,1,0,0,2
8555,0,1,1,0,0,2
8556,0,1,1,0,0,2
8557,0,1,1,0,0,2
8558,0,1,1,0,0,2
8559,0,1,1,0,0,2
8560,0,1,1,0,0,2
8561,0,1,1,0,0,2
8562,0,1,1,0,0,2
8563,0,1,1,0,0,2
8564,0,1,1,0,0,2
8565,0,1,1,0,0,2
8566,0,1,1,0,0,2
8567,0,1,1,0,0,2
8568,0,1,1,0,0,2
8569,0,1,1,0,0,2
8570,0,1,1,0,0,2
8571,0,1,1,0,0,2
8572,0,1,1,0,0,2
8573,0,1,1,0,0,2
8574,0,1,1,0,0,2
8575,0,1,1,0,0,2
8576,0,1,1,0,0,2
8577,0,1,1,0,0,2
8578,0,1,1,0,0,2
8579,0,1,1,0,0,2
8580,0,1,1,0,0,2
8581,0,1,1,0,0,2
8582,0,1,1,0,0,2
8583,0,1,1,0,0,2
8584,0,1,1,0,0,2
8585,0,1,1,0,0,2
8586,0,1,1,0,0,2
8587,0,1,1,0,0,2
8588,0,1,1,0,0,2
8589,0,1,1,0,0,2
8590,0,1,1,0,0,2
8591,0,1,1,0,0,2
8592,0,1,1,0,0,2
8593,0,1,1,0,0,2
8594,0,1,1,0,0,2
8595,0,1,1,0,0,2
8596,0,1,1,0,0,2
8597,0,1,1,0,0,2
8598,0,1,1,0,0,2
8599,0,1,1,0,0,2
8600,0,0,2,0,0,2
8601,0,1,1,0,0,2
8602,0,1,1,0,0,2
8603,0,1,1,0,0,2
8604,0,1,1,0,0,2
8605,0,1,1,0,0,2
8606,0,1,1,0,0,2
8607,0,1,1,0,0,2
8608,0,1,1,0,0,2
8609,0,1,1,0,0,2
8610,0,1,1,0,0,2
8611,0,1,1,0,0,2
8612,0,1,1,0,0,2
8613,0,1,1,0,0,2
8614,0,1,1,0,0,2
8615,0,1,1,0,0,2
8616,0,1,1,0,0,2
8617,0,1,1,0,0,2
8618,0,1,1,0,0,2
8619,0,1,1,0,0,2
8620,0,1,1,0,0,2
8621,0,1,1,0,0,2
8622,0,1,1,0,0,2
8623,0,1,1,0,0,2
8624,0,1,1,0,0,2
8625,0,1,1,0,0,2
8626,0,1,1,0,0,2
8627,0,1,1,0,0,2
8628,0,1,1,0,0,2
8629,0,1,1,0,0,2
8630,0,1,1,0,0,2
8631,0,1,1,0,0,2
8632,0,1,1,0,0,2
8633,0,1,1,0,0,2
8634,0,1,1,0,0,2
8635,0,1,1,0,0,2
8636,0,1,1,0,0,2
8637,0,1,1,0,0,2
8638,0,1,1,0,0,2
8639,0,1,1,0,0,2
8640,0,1,1,0,0,2
8641,0,1,1,0,0,2
8642,0,1,0,0,1,2
8643,0,1,1,0,0,2
8644,0,1,1,0,0,2
8645,0,1,1,0,0,2
8646,0,1,1,0,0,2
8647,0,1,1,0,0,2
8648,0,1,1,0,0,2
8649,0,1,1,0,0,2
8650,0,1,1,0,0,2
8651,0,1,1,0,0,2
8652,0,1,1,0,0,2
8653,0,0,2,0,0,2
8654,0,1,1,0,0,2
8655,0,1,1,0,0,2
8656,0,1,1,0,0,2
8657,0,1,1,0,0,2
8658,0,1,1,0,0,2
8659,0,1,1,0,0,2
8660,0,1,1,0,0,2
8661,0,1,1,0,0,2
8662,0,1,1,0,0,2
8663,0,1,1,0,0,2
8664,0,1,1,0,0,2
8665,0,1,1,0,0,2
8666,0,1,1,0,0,2
8667,0,1,1,0,0,2
8668,0,1,1,0,0,2
8669,0,1,1,0,0,2
8670,0,1,1,0,0,2
8671,0,1,1,0,0,2
8672,0,1,1,0,0,2
8673,0,1,1,0,0,2
8674,0,1,1,0,0,2
8675,0,1,1,0,0,2
8676,0,1,1,0,0,2
8677,0,1,1,0,0,2
8678,0,1,1,0,0,2
8679,0,1,1,0,0,2
8680,0,1,1,0,0,2
8681,0,1,1,0,0,2
8682,0,1,1,0,0,2
8683,0,1,1,0,0,2
8684,0,1,1,0,0,2
8685,0,1,1,0,0,2
8686,0,1,1,0,0,2
8687,0,1,1,0,0,2
8688,0,1,1,0,0,2
8689,0,1,1,0,0,2
8690,0,1,1,0,0,2
8691,0,1,1,0,0,2
8692,0,1,1,0,0,2
8693,0,1,1,0,0,2
8694,0,1,1,0,0,2
8695,0,1,1,0,0,2
8696,0,1,1,0,0,2
8697,0,1,1,0,0,2
8698,0,1,1,0,0,2
8699,0,1,1,0,0,2
8700,0,1,1,0,0,2
8701,0,1,1,0,0,2
8702,0,1,1,0,0,2
8703,0,1,1,0,0,2
8704,0,1,1,0,0,2
8705,0,1,1,0,0,2
8706,0,1,1,0,0,2
8707,0,1,1,0,0,2
8708,0,1,1,0,0,2
8709,0,1,1,0,0,2
8710,0,0,1,0,1,2
8711,0,1,1,0,0,2
8712,0,1,1,0,0,2
8713,0,1,1,0,0,2
8714,0,1,1,0,0,2
8715,0,1,1,0,0,2
8716,0,1,1,0,0,2
8717,0,1,1,0,0,2
8718,0,1,1,0,0,2
8719,0,1,1,0,0,2
8720,0,1,1,0,0,2
8721,0,1,1,0,0,2
8722,0,1,1,0,0,2
8723,0,1,1,0,0,2
8724,0,1,1,0,0,2
8725,0,1,1,0,0,2
8726,0,1,1,0,0,2
8727,0,1,1,0,0,2
8728,0,1,1,0,0,2
8729,0,1,1,0,0,2
8730,0,1,1,0,0,2
8731,0,1,1,0,0,2
8732,0,1,1,0,0,2
8733,0,1,1,0,0,2
8734,0,1,0,0,1,2
8735,0,1,1,0,0,2
8736,0,1,1,0,0,2
8737,0,1,1,0,0,2
8738,0,1,1,0,0,2
8739,0,1,1,0,0,2
8740,0,1,1,0,0,2
8741,0,1,1,0,0,2
8742,0,1,0,0,1,2
8743,0,1,0,0,1,2
8744,0,1,1,0,0,2
8745,0,1,1,0,0,2
8746,0,1,1,0,0,2
8747,0,1,1,0,0,2
8748,0,1,1,0,0,2
8749,0,1,1,0,0,2
8750,0,1,1,0,0,2
8751,0,1,1,0,0,2
8752,0,1,1,0,0,2
8753,0,1,1,0,0,2
8754,0,1,1,0,0,2
8755,0,1,1,0,0,2
8756,0,1,1,0,0,2
8757,0,1,1,0,0,2
8758,0,1,1,0,0,2
8759,0,1,1,0,0,2
8760,0,1,1,0,0,2
8761,0,1,1,0,0,2
8762,0,1,1,0,0,2
8763,0,1,1,0,0,2
8764,0,0,1,0,1,2
8765,0,1,1,0,0,2
8766,0,1,1,0,0,2
8767,0,1,1,0,0,2
8768,0,1,1,0,0,2
8769,0,1,1,0,0,2
8770,0,1,1,0,0,2
8771,0,1,1,0,0,2
8772,0,1,1,0,0,2
8773,0,1,0,0,1,2
8774,0,1,1,0,0,2
8775,0,1,1,0,0,2
8776,0,1,0,0,1,2
8777,0,1,1,0,0,2
8778,0,1,1,0,0,2
8779,0,1,1,0,0,2
8780,0,1,1,0,0,2
8781,0,1,1,0,0,2
8782,0,1,1,0,0,2
8783,0,1,1,0,0,2
8784,0,1,1,0,0,2
8785,0,1,1,0,0,2
8786,0,1,1,0,0,2
8787,0,1,1,0,0,2
8788,0,1,1,0,0,2
8789,0,1,1,0,0,2
8790,0,1,1,0,0,2
8791,0,1,1,0,0,2
8792,0,1,1,0,0,2
8793,0,1,1,0,0,2
8794,0,1,1,0,0,2
8795,0,1,1,0,0,2
8796,0,1,1,0,0,2
8797,0,1,1,0,0,2
8798,0,1,1,0,0,2
8799,0,1,1,0,0,2
8800,0,1,1,0,0,2
8801,0,1,1,0,0,2
8802,0,1,1,0,0,2
8803,0,1,1,0,0,2
8804,0,1,1,0,0,2
8805,0,1,1,0,0,2
8806,0,1,1,0,0,2
8807,0,1,1,0,0,2
8808,0,1,1,0,0,2
8809,0,1,1,0,0,2
8810,0,1,1,0,0,2
8811,0,1,1,0,0,2
8812,0,1,1,0,0,2
8813,0,1,1,0,0,2
8814,0,1,1,0,0,2
8815,0,1,1,0,0,2
8816,0,1,1,0,0,2
8817,0,1,1,0,0,2
8818,0,1,1,0,0,2
8819,0,1,1,0,0,2
8820,0,1,1,0,0,2
8821,0,1,1,0,0,2
8822,0,1,1,0,0,2
8823,0,1,1,0,0,2
8824,0,1,1,0,0,2
8825,0,1,1,0,0,2
8826,0,1,1,0,0,2
8827,0,1,1,0,0,2
8828,0,1,1,0,0,2
8829,0,1,1,0,0,2
8830,0,1,1,0,0,2
8831,0,1,1,0,0,2
8832,0,1,1,0,0,2
8833,0,1,1,0,0,2
8834,0,1,0,0,1,2
8835,0,1,1,0,0,2
8836,0,1,1,0,0,2
8837,0,1,1,0,0,2
8838,0,1,1,0,0,2
8839,0,1,1,0,0,2
8840,0,1,1,0,0,2
8841,0,1,1,0,0,2
8842,0,1,1,0,0,2
8843,0,1,1,0,0,2
8844,0,1,1,0,0,2
8845,0,1,1,0,0,2
8846,0,1,1,0,0,2
8847,0,1,1,0,0,2
8848,0,1,1,0,0,2
8849,0,1,1,0,0,2
8850,0,1,1,0,0,2
8851,0,1,1,0,0,2
8852,0,1,1,0,0,2
8853,0,1,1,0,0,2
8854,0,1,1,0,0,2
8855,0,1,1,0,0,2
8856,0,1,1,0,0,2
8857,0,1,1,0,0,2
8858,0,1,1,0,0,2
8859,0,1,1,0,0,2
8860,0,1,1,0,0,2
8861,0,1,1,0,0,2
8862,0,1,1,0,0,2
8863,0,1,1,0,0,2
8864,0,1,1,0,0,2
8865,0,1,1,0,0,2
8866,0,1,1,0,0,2
8867,0,1,1,0,0,2
8868,0,1,1,0,0,2
8869,0,1,1,0,0,2
8870,0,1,1,0,0,2
8871,0,1,1,0,0,2
8872,0,1,1,0,0,2
8873,0,1,1,0,0,2
8874,0,1,1,0,0,2
8875,0,1,1,0,0,2
8876,0,1,1,0,0,2
8877,0,1,1,0,0,2
8878,0,1,1,0,0,2
8879,0,1,1,0,0,2
8880,0,1,1,0,0,2
8881,0,1,1,0,0,2
8882,0,1,1,0,0,2
8883,0,1,1,0,0,2
8884,0,1,1,0,0,2
8885,0,1,1,0,0,2
8886,0,1,0,0,1,2
8887,0,1,1,0,0,2
8888,0,1,1,0,0,2
8889,0,1,1,0,0,2
8890,0,1,1,0,0,2
8891,0,1,1,0,0,2
8892,0,1,1,0,0,2
8893,0,1,1,0,0,2
8894,0,1,1,0,0,2
8895,0,1,1,0,0,2
