MMETSP_ID,JGI_ID
A0A6S8CQ37,137380
A0A6S8FB86,137397
A0A6S8CWZ4,137401
A0A6S8C120,137402
A0A6S7ZJL2,137411
A0A6S7ZM50,137424
A0A6S8ACF7,137433
A0A6S8DL72,137451
A0A6S7ZTT7,137462
A0A6S8B8C8,137463
A0A6S8ACI7,137466
A0A6S8AF21,137475
A0A6S8EMC1,137494
A0A6S8G8U8,137504
A0A6S8EUP1,137516
A0A6S8BPF1,137518
A0A6S8E1F6,137525
A0A6S8EIQ2,137532
A0A6S8AL82,137534
A0A6S8BA37,137536
A0A6S8BPX3,137541
A0A6S8BXS1,137542
A0A6S8AV21,137561
A0A6S8FBU4,137569
A0A6S8FHX5,137595
A0A6S8D8J3,137600
A0A6S8A8H2,137601
A0A6S8FWF6,137611
A0A6S8C520,137613
A0A6S8BRM3,137616
A0A6S8A3A9,137623
A0A6S8BNQ9,137626
A0A6S7ZUT4,137636
A0A6S8FYW9,137646
A0A6S8BKR2,137650
A0A6S8AY15,137652
A0A6S8EWL1,137653
A0A6S8FCD2,137655
A0A6S8AF45,137668
A0A6S8BAS6,137670
A0A6S8AQE0,137675
A0A6S8D9Q0,137679
A0A6S8G650,137688
A0A6S8G8R5,137694
A0A6S8AHZ7,137697
A0A6S8BMV4,137700
A0A6S8A2Z7,137703
A0A6S8BE18,137705
A0A6S8A9K8,137706
A0A6S8AS04,137707
A0A6S8FQD7,137708
A0A6S8AM72,137730
A0A6S8A4H0,137735
A0A6S7ZZ82,137765
A0A6S8BNI9,137778
A0A6S8B3S2,137784
A0A6S8C513,137794
A0A6S8BXR6,137812
A0A6S8EVM8,137813
A0A6S8A9Z7,137824
A0A6S8A321,137830
A0A6S8AJA6,137835
A0A6S8CNR1,137837
A0A6S8CXL7,137839
A0A6S8BH85,137840
A0A6S8ANG8,137849
A0A6S8CFE9,137853
A0A6S8B5Q6,137857
A0A6S8D495,137858
A0A6S8AEV9,137872
A0A6S8F9B6,137893
A0A6S8ATV7,137897
A0A6S8A1F9,137909
A0A6S8B2W7,137914
A0A6S8BV28,137918
A0A6S8C857,137929
A0A6S8FFM8,137934
A0A6S8EE03,137935
A0A6S8A049,137941
A0A6S7ZQS0,137957
A0A6S8DC96,137960
A0A6S8C959,137975
A0A6S8APC9,137978
